Verkiezing;;Gemeenteraad Coevorden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Coevorden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeente locatie Aleida Kramersingel;Theater Hofpoort@De Fabriek;De Swanenburg Sporthal;Zaal de Loo;BSV Tuindorp;BSV De Binnenvree;Drostenhal;Ravelijn Verbindt;Dorpshuis de Schalm;MFC Het Spectrum;MFC De Spinde;Dorpshuis Boerhoorn;Restaurant Cornelis;Dorpshuis De Kom;Dorpshuis De Hesselerhof;Het Pluspunt;De Tiphof;MFC De Brink;Restaurant Wielens;Dorpshuis Schoonoord;Dorpshuis De Kiel;'d Aol Schoelstee;Pizza & Pasta Bar;Grandcafé & Hotel LiBo;Brasserie Tramlokaal;Gemeente locatie Aleida Kramersingel;MFC De Spinde;Grandcaé LiBo Aalden;Gemeente locatie Aleida Kramersingel;MFC De Brink;Dorpshuis De Hesselerhof;Mobiel Stembureau 1;Mobiel Stembureau 2
;;2;Katerberg-Loman, S.M.;494;8;9;10;16;3;0;17;3;12;19;6;7;6;8;23;52;21;81;41;33;10;1;35;14;3;3;5;3;1;34;6;4;0
;;3;Heeling, E.;266;1;1;1;3;0;0;3;1;6;1;4;6;3;2;8;17;5;83;20;7;0;3;26;17;3;4;1;1;4;28;4;1;2
;;4;Streutker-Lanjouw, E.J.;238;23;21;41;28;2;1;34;11;6;1;4;1;2;0;0;2;2;3;1;2;0;0;0;3;1;10;0;0;28;1;0;0;10
;;5;Oortmann, B.H.;19;1;2;2;4;0;1;1;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1
;;6;Schuttenbeld, R.H.;32;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;13;1;0;0;1;3;0;0;0;1;0;2;0;0;1
;;7;Moes, M.J.;25;4;2;4;3;0;0;4;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;;8;van Delden, A.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Wilting, R.;17;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;5;0;2;0;0;0;0;2;0;0;1
;;10;Euving, E.;20;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;12;0;1;0;1;0;1;0;0;1
;;11;de Vries, H.P.;16;0;4;3;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;1
;;12;Klein Gunnewiek-Penterman, L.G.H.;28;2;1;1;2;0;0;4;0;0;2;4;5;0;0;2;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;2299;158;78;128;189;42;27;205;62;24;97;169;10;39;22;86;52;44;125;42;123;47;10;30;88;26;69;34;16;108;63;35;19;32
;;1;Slomp, W.J.;634;50;28;42;61;16;4;55;18;6;9;32;2;3;6;31;21;21;45;18;17;6;1;6;11;7;23;6;1;31;30;12;6;9
;;2;Mulder, G.;125;1;2;1;0;0;0;3;0;0;0;1;0;0;0;5;3;3;7;0;6;3;1;2;48;11;1;0;11;0;8;1;6;1
;;3;Blanken, M.;245;24;12;22;33;3;14;70;7;1;0;8;2;1;0;2;2;3;1;1;1;0;0;0;3;0;9;2;0;19;0;0;0;5
;;4;Nijenbanning, F.M.;276;16;8;14;26;5;3;23;11;3;1;15;0;2;7;13;3;7;18;6;6;3;3;7;20;3;12;4;4;14;9;7;1;2
;;5;van der Weide, F.;115;6;2;2;3;0;0;2;3;5;66;8;0;2;0;1;0;2;0;0;0;0;0;1;0;0;1;0;0;8;0;0;0;3
;;6;Dorgelo, W.H.;40;4;1;3;4;0;1;5;2;0;0;5;0;0;0;0;0;0;0;2;1;0;2;0;0;0;6;0;0;3;0;0;1;0
;;7;Jasperse, N.;107;7;5;3;10;2;0;5;2;0;3;7;2;3;0;6;0;2;5;5;6;9;0;1;3;4;6;2;0;7;0;1;0;1
;;8;Brink, J.;228;19;7;10;12;5;1;10;8;1;0;61;2;22;2;4;2;1;6;3;2;0;0;5;3;0;7;11;0;5;3;7;2;7
;;9;Oebeles, L.;34;4;1;0;3;0;0;0;1;2;1;6;0;0;2;0;0;0;6;0;0;0;0;0;0;0;0;5;0;2;0;0;1;0
;;10;Conen, G.;28;3;3;0;3;2;1;4;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;0;0;6;0;0;0;1
;;11;Lubbelinkhof, A.;171;24;9;24;31;9;1;24;9;3;2;6;1;2;1;3;0;0;0;0;0;0;1;1;0;0;4;0;0;11;2;0;0;3
;;12;Timmer, H.;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;31;4;4;0;0;4;0;0;0;0;0;0;5;0;0;0
;;13;Prinsen, H.D.;114;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;1;0;78;24;2;1;0;0;0;0;0;0;4;0;0;0
;;14;Kleine, A.;34;0;0;4;3;0;2;3;0;3;12;1;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;15;Eenkhoorn, A.A.;25;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;2;0;3;2;1;1;0;0;0;0;0;4;0;0;2;0;0;0
;;16;Hornstra, H.R.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hidding, R.E.;19;0;0;3;0;0;0;0;0;0;0;8;0;2;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Venema, T.;39;0;0;0;0;0;0;1;0;0;0;1;0;0;0;20;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0;7;2;0
5;PAC;;;1841;148;89;106;183;28;17;183;37;37;10;97;27;27;17;73;43;27;83;65;23;15;38;38;77;33;86;17;19;134;22;32;1;9
;;1;Stoker, G.J.;715;74;33;56;79;11;8;101;13;18;6;26;6;6;1;29;15;9;27;20;5;4;2;13;18;8;34;4;5;59;8;12;1;4
;;2;Driehuis, I.J.H.;382;17;15;14;38;5;1;29;7;7;2;20;14;9;9;24;15;9;22;13;9;6;4;16;8;10;13;5;3;23;6;9;0;0
;;3;Hoedemaker, L.;81;1;1;0;2;0;0;0;0;1;0;3;0;3;0;5;2;1;2;3;1;2;27;0;15;3;0;2;1;1;3;2;0;0
;;4;Blaauwgeers, P.H.B.;183;21;26;6;20;1;0;16;4;4;1;6;1;2;1;6;1;2;4;2;1;2;2;1;3;1;17;5;0;25;0;0;0;2
;;5;Veltman, N.;84;5;1;7;13;2;1;6;4;1;0;11;3;0;1;0;0;1;2;6;1;0;2;0;6;0;3;0;0;7;0;1;0;0
;;6;Vloon, M.S.;102;7;8;10;13;5;7;18;4;2;1;6;3;2;3;0;0;2;0;0;0;0;0;0;0;0;3;0;0;8;0;0;0;0
;;7;Derks, R.;33;5;1;2;2;1;0;3;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;8;0;0;2;0;0;0;3
;;8;van Leeuwen-Pronk, A.H.A.;27;3;1;1;1;0;0;3;0;2;0;2;0;0;0;3;1;0;0;0;0;0;0;0;1;1;0;0;2;1;0;5;0;0
;;9;Six, G.C.;61;1;0;0;0;0;0;0;0;1;0;1;0;0;0;4;7;0;1;5;2;0;1;2;20;5;0;0;6;0;3;2;0;0
;;10;Doek, E.;30;10;0;7;2;0;0;3;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0
;;11;Juffer, D.L.J.;24;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;16;3;0;1;0;1;0;0;0;0;0;0;1;0;0;0
;;12;Schoonewille, M.M.;19;1;1;1;5;0;0;1;2;0;0;0;0;0;0;1;0;0;3;0;1;0;0;1;0;0;0;0;0;2;0;0;0;0
;;13;Snippe, M.;13;2;2;1;1;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;14;de Jonge-Mekkes, D.;36;0;0;0;1;2;0;1;1;0;0;17;0;2;2;0;0;1;0;2;0;0;0;0;3;1;2;0;0;1;0;0;0;0
;;15;Klein, L.;16;1;0;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0;4;0;0;0;0;2;1;0;0;0;0;1;1;1;0;0
;;16;van der Steen-Geers, M.H.J.;35;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;0;1;10;3;0;0;1;1;3;2;1;2;3;0;0;0;0
6;PPC;;;562;39;20;36;61;12;6;57;7;14;8;46;41;21;4;7;19;18;17;6;21;2;6;12;12;2;17;7;1;31;6;4;1;1
;;1;Bouwers, H.;207;18;10;8;20;8;2;23;1;8;4;14;4;9;1;1;5;6;9;3;11;0;4;4;4;0;7;5;0;12;4;2;0;0
;;2;van Hillo-Wolting, E.;99;3;1;4;15;2;0;8;1;2;1;17;1;4;1;0;5;2;3;0;2;0;1;6;6;0;2;2;1;7;1;0;1;0
;;3;Nijmeijer, H.;22;0;0;2;1;0;1;0;0;0;0;1;7;1;0;0;0;3;2;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;4;Bakker-Zwiers, M. J.;38;0;1;2;2;0;0;3;1;0;0;7;2;5;2;0;3;0;3;0;1;0;0;0;1;0;2;0;0;2;0;0;0;1
;;5;Eising, G.R.;74;4;2;6;5;0;0;2;1;0;3;5;27;1;0;0;0;5;0;1;4;1;0;2;0;2;1;0;0;1;1;0;0;0
;;6;Dokter, F.;104;14;6;12;18;2;3;21;3;4;0;1;0;1;0;0;3;1;0;0;1;0;0;0;1;0;4;0;0;9;0;0;0;0
;;7;Kamping, A.J.;18;0;0;2;0;0;0;0;0;0;0;1;0;0;0;6;3;1;0;0;2;1;1;0;0;0;0;0;0;0;0;1;0;0
