Verkiezing;;Gemeenteraad Meerssen 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Meerssen;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0938;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bestuurscentrum (KCC);Gemeenschapshuis De Stip;Gymzaal Meerssen West;Gemeenschapshuis de Koel;Gymzaal de Koprol;Tennis Padel  Club Bunde;Zalencentrum De Auw Kerk;Ut Gäöls Heukske;Gymzaal Moorveld;Gemeenschapshuis D'n Huppel;Gymzaal 't Uulke;Bestuurscentrum KCC;Bestuurscentrum (KCC);Zalencentrum De Auw Kerk;Zalencentrum De Auw Kerk;Gemeenschapshuis d'n Huppel;Gemeenschapshuis d'n Huppel;Ut Gäöls Heukske;Ut Gäöls Heukske;Mobiel stembureau;Mobiel stembureau
;;11;Nijsten, A.J.M.J.;36;0;2;1;1;5;5;10;0;0;0;0;0;0;0;12;0;0;0;0;0;0
;;12;Jacobs -Luijten, M.A.F.;47;0;0;2;1;17;2;10;1;3;0;0;4;1;1;5;0;0;0;0;0;0
;;13;Lemmens, G.R.I.R.;23;0;1;0;3;0;0;1;1;12;0;0;0;0;0;2;0;2;0;1;0;0
;;14;Heijgele, K.P.V.;19;1;1;0;6;1;0;2;0;4;1;2;0;0;0;0;1;0;0;0;0;0
;;15;Aussems, Y.L.M.;22;1;9;1;0;4;0;1;0;1;1;0;2;1;0;1;0;0;0;0;0;0
;;16;Reinders, J.M.H.;39;3;1;1;6;0;0;2;2;0;4;6;3;4;0;0;3;4;0;0;0;0
;;17;Thewissen, Q.E.H.;38;7;5;4;2;1;2;3;1;4;0;1;0;4;2;1;1;0;0;0;0;0
;;18;Geraards, D.;10;2;4;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;19;Pallada, M.P.J.;33;1;4;0;8;0;0;3;3;4;0;2;2;1;0;0;0;0;1;1;1;2
;;20;Liegeois, K.A.M.;19;0;3;0;0;3;0;0;1;8;1;0;0;0;0;3;0;0;0;0;0;0
;;21;Thijssen, R.A.A.;45;0;1;0;1;0;0;2;14;12;0;1;0;0;0;0;0;0;4;10;0;0
3;CDA;;;752;33;39;13;12;62;37;38;75;101;59;52;17;29;22;31;18;25;19;42;5;23
;;1;Aarts, J.E.M.;166;8;19;2;5;15;7;3;5;6;21;23;5;5;2;7;14;15;0;0;2;2
;;2;Jonkhout, A.M.A.;320;12;10;3;1;16;5;14;55;77;5;10;7;16;10;10;0;4;14;34;3;14
;;3;Zuijlen, R.M.J.;69;4;0;2;2;13;14;11;3;0;2;5;0;1;3;6;0;1;1;0;0;1
;;4;Frissen, M.F.E.J.;20;0;0;0;0;1;0;0;0;1;11;4;0;0;0;1;0;0;0;1;0;1
;;5;In de Braekt, D.J.V.;22;2;2;2;1;2;3;4;1;0;0;0;2;0;0;2;0;0;1;0;0;0
;;6;Karaoglan, M.;5;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;7;Keijsers, P.H.;37;0;0;1;1;14;2;2;2;0;0;2;0;0;6;5;0;0;1;1;0;0
;;8;Maassen, H.M.M.;25;0;0;0;0;0;0;0;7;14;0;1;0;0;0;0;0;0;0;3;0;0
;;9;van Eijkelenburg, J.W.A.M.;9;0;3;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0
;;10;Minten, A.J.T.;15;2;1;0;1;0;2;1;2;2;1;0;0;0;0;0;0;0;0;3;0;0
;;11;Koot-Hilhorst, C.M.;38;1;0;1;0;1;2;0;0;0;15;7;0;4;0;0;4;3;0;0;0;0
;;12;Pijnenburg, A.M.;26;4;0;0;1;0;2;3;0;1;4;0;1;3;0;0;0;0;2;0;0;5
4;KIJK!!!;;;1239;139;80;43;43;89;108;165;84;86;52;41;22;49;74;73;22;19;14;33;0;3
;;1;Pohle, A. H. G.;367;36;22;8;14;31;45;54;20;11;17;9;13;14;23;26;2;8;4;10;0;0
;;2;Meijers, G.;297;36;24;15;20;21;25;35;16;16;8;5;4;14;19;21;7;4;1;5;0;1
;;3;Giesen, J. J. M.;59;5;7;1;0;9;2;15;0;0;0;3;2;4;3;6;2;0;0;0;0;0
;;4;Lemmens, H. G. M. J.;52;2;6;2;0;4;2;17;2;0;1;1;0;1;8;3;1;0;2;0;0;0
;;5;Mulder, T. J. D.;59;3;0;0;1;3;3;2;20;9;0;0;0;3;1;1;0;0;2;10;0;1
;;6;Koch, I. J. H.;78;9;5;10;5;5;6;10;0;3;8;1;2;4;4;2;2;2;0;0;0;0
;;7;de Rond, V.;116;19;3;6;1;11;9;16;5;9;2;3;1;5;8;10;4;4;0;0;0;0
;;8;Kester, W. T. J. M.;43;14;3;1;0;3;1;3;2;11;0;1;0;1;0;0;0;0;0;2;0;1
;;9;Ligthart, F. N.;19;0;0;0;1;0;0;0;0;0;10;8;0;0;0;0;0;0;0;0;0;0
;;10;Muris, J. W. M.;79;5;2;0;0;0;9;6;18;23;0;2;0;0;2;0;0;1;5;6;0;0
;;11;Bardoul, R. H. G. M.;22;2;1;0;0;2;5;7;0;0;0;0;0;1;4;0;0;0;0;0;0;0
;;12;Pas, J. H.;18;2;4;0;1;0;1;0;0;0;1;3;0;0;1;3;2;0;0;0;0;0
;;13;Dassen, H. M. M.;30;6;3;0;0;0;0;0;1;4;5;5;0;2;1;1;2;0;0;0;0;0
5;PGM het Origineel;;;551;55;60;35;70;61;32;46;15;14;20;19;17;31;24;31;4;2;5;3;6;1
;;1;Vertommen, R.H.A.;177;10;17;7;6;39;13;28;4;6;3;3;2;2;10;22;0;2;0;1;1;1
;;2;Gruyters, A.P.J.;80;0;5;3;54;1;1;0;2;4;0;1;0;1;2;1;0;0;3;0;2;0
;;3;Smeets, E.M.E;97;18;12;10;2;2;6;8;1;3;11;2;2;10;4;2;2;0;0;0;2;0
;;4;Kusters, K.M.;12;0;0;1;4;0;0;1;0;1;0;2;0;1;0;1;0;0;0;1;0;0
;;5;Volders, L.C.G.;143;22;26;14;1;7;7;5;5;0;5;8;12;17;6;3;2;0;2;0;1;0
;;6;Eikenboom - te Poel, S.D.P.M;32;4;0;0;1;11;3;4;3;0;0;0;1;0;2;2;0;0;0;1;0;0
;;7;Oberndorff, P.A.;10;1;0;0;2;1;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0
