Verkiezing;;Gemeenteraad Gilze en Rijen 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gilze en Rijen;;;;;;;;;;;;;;;;;;;
Nummer;;0784;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Gilze en Rijen;De Boodschap;Burg. van Mierloschool;Gymzaal school De Brakken;Sint Jozefschool;Hal NS-station;Woonstichting Leystromen;De Schakel;Sporthal Achter de Tuintjes;Heemkring Molenheide;De Molenwiek;The Chump;Gemeentehuis Gilze en Rijen 14-03-2022;Gemeentehuis Gilze en Rijen 15-03-2022;Sporthal Achter de Tuintjes 14-03-2022;Sporthal Achter de Tuintjes 15-03-2022;Gemeentehuis Gilze en Rijen
;;1;van der Meer, M.;884;90;64;58;133;100;162;46;7;8;9;12;16;74;99;3;3;0
;;2;van Haperen, M.;21;3;5;2;2;1;2;2;1;0;0;0;0;2;1;0;0;0
;;3;Manders, J.M.G.M.;33;3;1;0;2;2;15;3;0;0;1;0;0;2;4;0;0;0
;;4;Koenen, G.P.J.H.M.;15;0;5;0;1;2;3;0;0;0;0;0;0;3;1;0;0;0
;;5;Beterams, F.N.J.T.;50;8;5;3;9;5;8;2;0;0;0;1;0;4;5;0;0;0
;;6;Hofsteenge, J.;51;4;0;1;12;15;8;4;0;0;0;0;1;4;2;0;0;0
;;7;Zwarts, A.;50;4;7;3;14;3;5;0;1;0;1;3;1;4;4;0;0;0
;;8;Hofsteenge, H.J.J.;10;0;1;0;3;4;1;0;0;0;0;0;0;0;1;0;0;0
;;9;Heijnen, S.P.;10;0;0;0;3;1;2;1;0;0;0;0;0;0;3;0;0;0
;;10;van der Kallen, C.J.;16;0;0;1;2;3;7;0;0;0;0;0;0;3;0;0;0;0
;;11;Bosscher, M.;25;2;5;0;1;0;0;0;0;2;0;0;12;3;0;0;0;0
;;12;de Hoon, D.;15;2;1;0;8;1;1;0;0;0;0;0;0;0;2;0;0;0
;;13;Patist-Heeren, M.P.A.;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0
;;14;Arslan, S.;12;1;0;0;0;4;0;1;0;0;0;0;0;1;5;0;0;0
;;15;Busselaar, B.M.;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;16;Willemen, S.J.M.;7;0;0;0;2;2;2;0;0;0;0;0;0;0;1;0;0;0
;;17;Kiel, K.T.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Marrée-Ekelschot, M.E.P.;4;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;19;van Rooij, T.P.M.;5;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0
;;20;Manders-Broekhuis, H.A.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;Ahajaj, R.;6;0;1;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0
;;22;Oomen, P.W.M.;4;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0
;;23;de Wee-Rovers, C.J.M.;7;0;1;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0
;;24;Janssen, F.J.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Vonk-Milani, F.B.J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Voet, H.C.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;van Vliet, J.J.M.;4;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0
;;28;Mantel, W.M.M.;9;1;0;1;3;2;2;0;0;0;0;0;0;0;0;0;0;0
;;29;Bakx, H.A.M.;4;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
;;30;de Wee, J.;7;1;0;1;0;0;2;0;0;0;0;0;0;1;2;0;0;0
3;CDA;;;812;38;33;46;79;77;94;48;55;64;18;55;30;53;63;28;31;0
;;1;Frankemölle - Bolier, J.H.W.;243;12;11;17;26;30;27;9;13;14;8;10;11;14;18;3;20;0
;;2;ten Cate, A.A.;53;2;1;1;8;8;11;2;4;4;0;2;2;3;5;0;0;0
;;3;Kanbur, A.;198;19;7;13;18;23;34;26;0;1;0;0;0;25;31;0;1;0
;;4;Hartog - Zweers, C.H.;21;0;2;2;2;4;1;0;1;1;1;0;0;5;1;1;0;0
;;5;van Zuijlen, M.G.;14;0;0;2;0;2;4;3;0;0;0;0;0;0;1;1;1;0
;;6;Faes, S.J.C;94;1;0;0;6;1;1;1;16;30;2;11;5;0;0;12;8;0
;;7;Esseling - Boemaars, L.A.C.M.;30;2;0;0;0;0;0;0;1;0;1;21;0;2;1;2;0;0
;;8;Rops, H.W.M.;16;0;0;3;1;0;3;0;1;0;0;5;0;1;0;2;0;0
;;9;Wouters, J.C.M.;30;0;3;0;1;3;1;0;5;6;5;1;0;1;0;3;1;0
;;10;Schuermans - Pijnenburg, H.P.M.;12;0;4;1;2;1;1;0;0;0;0;1;0;0;2;0;0;0
;;11;Diepstraten, S.M.A.C.;19;0;2;4;0;0;0;0;4;1;0;0;5;2;1;0;0;0
;;12;Frijters, G.J.J.;39;0;0;1;15;0;0;1;7;5;0;4;4;0;0;2;0;0
;;13;Wouters - Mulder, A.M.M.;11;0;1;0;0;2;0;0;2;2;0;0;3;0;0;1;0;0
;;14;Frankemölle, J.P.K.W.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;15;van Dijk, P.W.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;ten Cate - Stolwijk, M.A.;3;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;17;Schuurmans, M.J.F.;6;0;1;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0
;;18;Klaassen, A.J.M.;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;19;van Bijsterveld, S.C.;6;0;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0
;;20;Sprangers, A.J.B.M.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;21;Haagh, A.G.J.;11;2;0;0;0;1;3;1;1;0;1;0;0;0;1;1;0;0
4;VVD;;;1000;65;68;43;129;66;130;72;75;71;54;40;24;53;61;16;33;0
;;1;Vermorken, D.;500;28;40;29;70;29;74;36;33;33;20;18;14;24;35;4;13;0
;;2;van Nistelrooij, H.J.M.;80;6;5;5;8;9;6;18;3;2;1;1;1;6;9;0;0;0
;;3;van Enschot, N.J.M.;84;1;0;0;1;0;0;0;21;24;18;1;3;0;0;4;11;0
;;4;Rutten, H.W.A.M.;78;7;5;6;12;8;11;8;0;0;2;1;1;11;3;0;3;0
;;5;Machielsen, G.A.J.;8;0;1;0;2;0;2;0;0;0;0;0;0;0;3;0;0;0
;;6;de Boer-Schellekens, L.W.Z.;90;15;7;1;21;11;14;4;2;1;2;1;4;4;3;0;0;0
;;7;Houtepen, P.J.F.W.;27;1;3;0;4;3;4;0;0;2;0;2;0;5;2;1;0;0
;;8;Kusters, A.T.;29;0;1;0;1;0;1;0;9;2;5;0;0;0;0;5;5;0
;;9;Schelfhorst, A.;14;3;0;0;6;1;1;0;2;0;0;0;0;0;1;0;0;0
;;10;Storm, A.H.;15;0;0;0;0;0;0;0;2;0;0;13;0;0;0;0;0;0
;;11;van Osch, R.F.M.;6;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;1;0
;;12;Hofman, S.;6;1;0;0;0;0;1;0;0;0;0;0;1;2;1;0;0;0
;;13;Machielsen-Bijleveld, S.J.;9;0;0;0;0;1;3;1;0;0;0;1;0;1;2;0;0;0
;;14;Kuijpers, J.G.M.F.;17;2;3;0;3;2;7;0;0;0;0;0;0;0;0;0;0;0
;;15;Rutten-van Opstal, M.E.A.M.;4;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0
;;16;Meeuwis, H.C.M.;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;17;Caspers-Machielsen, J.A.M.;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;18;Vermorken, A.G.J.;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;19;Rutten, C.J.A.M.;4;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
;;20;Bomhof, C.M.;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;21;van de Loo, J.H.C.M.;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;22;Haagh, V.J.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Zwart, P.S.;5;0;1;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0
;;24;Gosens, M.G.M.;14;0;2;1;1;0;0;0;0;4;4;0;0;0;0;2;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1133;60;85;61;97;65;107;26;84;84;131;40;12;68;74;44;95;0
;;1;Doremalen-van Berkel, M.E.N.T.W.;683;26;45;36;55;37;48;13;56;62;108;14;4;44;38;35;62;0
;;2;Bisschops, A.H.;59;8;9;7;2;6;6;5;0;0;0;1;0;7;7;0;1;0
;;3;van Gageldonk, A.P.J.M.;13;1;5;0;2;0;0;0;0;0;0;0;0;5;0;0;0;0
;;4;van Zuijlen, J.P.W.;25;8;3;0;2;2;4;0;0;0;0;0;0;2;2;0;2;0
;;5;Starreveld, W.H.;77;1;0;4;2;0;5;0;4;12;10;15;0;1;2;7;14;0
;;6;von Meijenfeldt, P.C.;49;5;7;0;1;1;7;0;2;0;3;10;1;7;2;1;2;0
;;7;Vervaet, C.H.;42;1;1;2;16;4;8;3;1;0;1;0;0;0;3;0;2;0
;;8;van der Heijden, C.J.J.;27;1;1;2;2;4;5;0;0;0;0;0;6;1;4;0;1;0
;;9;Schiphuis, J.O.S.;5;0;0;0;0;0;1;0;2;0;0;0;0;0;2;0;0;0
;;10;de Bruijn, G.J.C.;8;0;0;0;0;0;0;0;2;1;3;0;0;0;0;0;2;0
;;11;Sterenborg, G.;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van der Heijden-van Opstal, A.P.M.;11;0;0;0;2;0;5;2;0;0;0;0;0;0;2;0;0;0
;;13;Hesemans, A.C.M.;20;4;2;3;1;2;5;0;1;0;0;0;0;0;2;0;0;0
;;14;van der Heide, B.;12;2;2;1;0;4;0;1;0;0;0;0;0;1;1;0;0;0
;;15;Tabor, D.S.A.;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;16;Pot, T.A.;6;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;1;0
;;17;Brouwers-Plasmeijer, B.P.R.D.M.;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0
;;18;Vernooij-van der Wal, M.D.H.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Posthuma, M.C.;3;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0
;;20;Koks, P.J.J.M.;5;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0
;;21;Drogt, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Uitterhoeve, J.F.;6;0;0;2;0;1;1;1;0;0;0;0;0;0;1;0;0;0
;;23;van den Berg, M.A.M.;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;24;Tax, N.P.H.;9;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Hendriks, G.P.F.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;26;Raaijmakers, L.C.M.;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Pruijsen, M.W.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;28;IJpelaar-van Hulten, G.W.M.;5;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0
;;29;Bijl, B.M.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van den Hoever, J.P.A.;4;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0
;;31;Broeders, H.P.M.;8;0;0;1;0;0;1;0;0;0;0;0;0;0;4;0;2;0
;;32;Lavooij, L.C.;35;3;1;0;3;1;0;0;13;6;2;0;1;0;1;1;3;0
6;D66;;;1181;66;71;48;106;110;156;39;70;95;76;37;18;73;113;47;56;0
;;1;Krol-Graat, A.A.G.W.;700;49;50;42;83;79;107;30;25;26;21;16;4;51;78;16;23;0
;;2;van Vugt, G.W.M.;114;5;3;1;0;6;5;4;11;20;19;1;0;5;9;12;13;0
;;3;Schoenmakers, S.E.M.;79;7;7;5;5;11;23;1;0;0;0;1;0;6;13;0;0;0
;;4;Bossink, B.J.;12;0;0;0;3;1;1;2;0;0;2;0;0;1;2;0;0;0
;;5;de Frel, S.J.E.;44;1;3;0;1;2;5;2;1;2;1;16;0;2;5;1;2;0
;;6;Bousché-Leeflang, R.L.G.;6;0;1;0;0;1;2;0;0;0;0;1;0;0;1;0;0;0
;;7;van Noort-van Hoek, C.L.A.M.;97;0;1;0;3;3;3;0;19;21;15;1;1;2;2;13;13;0
;;8;Hadić, E.;20;3;1;0;7;0;2;0;2;0;0;0;1;4;0;0;0;0
;;9;van den Wijngaart-van Helvoirt, E.M.J.;12;0;1;0;0;0;0;0;3;3;4;0;0;0;0;1;0;0
;;10;den Draak, Y.J.;36;0;4;0;4;5;6;0;1;1;1;1;12;0;1;0;0;0
;;11;van der Veeken, B.T.F.;47;1;0;0;0;0;1;0;7;20;9;0;0;2;1;3;3;0
;;12;Diepstraten-van Oudheusden, I.C.W.A.M.;14;0;0;0;0;2;1;0;1;2;4;0;0;0;1;1;2;0
7;Groen Gilze en Rijen;;;2526;167;183;178;356;329;379;123;88;84;70;39;11;179;245;28;67;0
;;1;van Seters, P.R.;1008;59;77;69;111;123;171;46;39;24;29;18;2;86;117;10;27;0
;;2;van Dongen, P.J.C.;390;27;25;41;100;55;44;21;0;2;2;0;1;33;37;0;2;0
;;3;van Loenhout, D.;99;12;11;10;7;5;13;12;1;2;1;1;0;9;14;0;1;0
;;4;van Aerts, Q.K.;353;26;29;22;53;50;63;16;5;8;5;7;7;20;33;0;9;0
;;5;Dusée, J.P.H.;22;0;1;2;2;6;0;0;2;0;1;2;0;3;2;1;0;0
;;6;van Dongen, D.S.H.F.;128;10;11;7;30;33;14;9;0;2;0;1;1;3;6;1;0;0
;;7;Seegers, J.A.M.;56;7;5;4;7;6;11;0;1;7;1;0;0;0;5;0;2;0
;;8;van Mook, A.A.M.;62;4;4;2;9;17;20;0;0;0;0;0;0;2;4;0;0;0
;;9;Cleijsen-Ansems, A.A.M.;109;3;0;0;3;3;4;0;32;19;20;0;0;1;1;11;12;0
;;10;Pijnenburg, P.A.;8;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0
;;11;Riemslag-Ansems, A.M.T.;47;1;0;1;2;0;2;1;5;13;3;3;0;3;2;4;7;0
;;12;Bongers, B.;84;9;7;3;11;11;15;9;0;1;2;4;0;4;5;0;3;0
;;13;van Beijsterveldt, M.H.C.C.;29;1;0;1;2;6;5;3;1;1;2;2;0;4;1;0;0;0
;;14;Merkx, M.G.J.A.;30;0;6;7;6;3;4;0;0;0;0;0;0;0;4;0;0;0
;;15;Kaspers, S.F.;21;1;1;6;1;2;2;1;0;0;0;0;0;1;6;0;0;0
;;16;Scheeve, N.;8;1;0;0;1;1;1;1;0;0;0;0;0;1;2;0;0;0
;;17;Dekkers, F.A.M.;15;0;0;0;0;0;0;0;1;4;3;0;0;2;1;1;3;0
;;18;Acke, A.;15;1;0;0;4;0;5;0;0;0;0;0;0;4;0;0;1;0
;;19;Vermetten-van der Velden, M.W.A.;18;0;5;2;4;3;1;0;0;1;0;0;0;0;2;0;0;0
;;20;Beljaars, B.F.;24;3;1;1;3;5;4;2;1;0;1;1;0;1;1;0;0;0
