Verkiezing;;Gemeenteraad Twenterand 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Twenterand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;CCK2;'t Kooykershuus;Westerkerk, Kanaalweg Z;'t Haarhuus (dinsdag bijzonder beperkt);Weemelanden / Het Liefferdinck (bijzonder beperkt mobiel);Hervormd Centrum Hoofdweg;NH Kerk Oude Hoevenweg 40;Basisschool Eltheto;Sportzaal De Weemelanden;Baptistenkerk;Gemeentehuis Vriezenveen;CBS De Regenboog/Dorpshuis Bruinehaar;Sportzaal De Stamper;Chr.BS Shalom;Hervormd Centrum De Rank;CBS de Smithoek;Vergaderzaal Geref.Kerk;Sportzaal de Beukenhage;Ver.gebouw RK Kerk;Baptistencentrum 't Lieniezer;Kerkelijk Centrum Het Anker;Het Punt;Wijkgeb Oos Plekkie in 't Flierpark;"GKV ""De Akker""";Gemeentehuis Vriezenveen (maandag);Gemeentehuis Vriezenveen (dinsdag);CBS de Smithoek (maandag);CBS de Smithoek (dinsdag);Hervormd Centrum Hoofdweg (maandag);Hervormd Centrum Hoofdweg (dinsdag);Het Punt (maandag);Het Punt (dinsdag)
;;1;Paters, M.H.;1433;31;30;55;3;1;112;5;17;38;83;66;22;13;66;20;13;14;26;52;97;144;186;60;58;20;31;6;5;16;27;43;73
;;2;Elzinga, M.J.A.;355;3;6;7;0;0;13;5;2;9;9;12;2;2;7;4;4;4;3;78;19;33;37;17;17;5;6;1;2;0;2;17;29
;;3;Harmsen, L.J.;731;1;6;3;0;2;4;5;2;6;1;6;0;5;8;100;101;131;196;7;12;8;21;4;1;0;5;30;50;1;0;4;11
;;4;Koster, R.;268;16;17;32;0;1;6;2;11;29;1;37;11;3;41;5;0;2;2;4;4;11;1;2;2;7;19;0;0;0;0;2;0
;;5;Engels, A.;162;2;7;2;1;0;44;0;2;3;43;8;1;2;6;2;2;1;0;1;5;0;0;3;3;1;1;0;0;10;9;1;2
;;6;Makkinga, S.C.S.;446;3;4;5;0;1;10;1;7;8;3;10;6;2;13;13;13;4;12;22;38;75;66;22;38;1;5;3;2;1;1;24;33
;;7;Albersen, G.;172;7;4;18;0;0;4;5;21;30;2;21;11;9;21;0;0;0;0;0;0;0;2;0;0;3;13;0;0;0;1;0;0
;;8;Laarman, G.;205;0;3;1;0;0;0;0;1;0;0;1;0;0;3;35;40;45;45;2;0;3;5;0;0;1;1;2;15;0;0;1;1
;;9;Pape, H.J.;342;19;14;49;0;0;3;5;30;50;1;40;21;16;57;0;1;0;0;0;0;2;1;0;0;11;19;0;0;2;0;1;0
;;10;Bosch-Hofte, J.A.M.;153;11;11;14;0;0;1;2;6;21;0;17;6;2;29;3;4;1;1;2;4;1;2;0;2;7;5;0;1;0;0;0;0
;;11;Dekker, W.;48;0;0;1;0;0;28;0;0;0;11;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;3;2;0;0
;;12;Stolte, F.;60;1;0;0;0;0;0;0;1;0;0;1;0;0;0;17;6;10;6;0;2;2;1;1;0;3;0;4;4;0;0;0;1
;;13;Vollering, T.J.M.;40;2;0;22;0;0;0;3;0;3;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;14;Alferink, B.J.H.;92;0;0;1;0;0;3;0;3;0;2;0;0;1;1;0;0;0;1;11;18;15;17;3;11;0;0;0;0;0;0;3;2
;;15;Aalderink, L.J.;80;0;0;0;0;0;35;0;0;2;24;6;5;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;2;0;0
;;16;van Veen, A.;57;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0;4;2;22;1;9;6;0;1;1;0;2;0;0;0;3;1
;;17;Beulakker-Mulder, L.;127;0;0;1;0;0;2;0;1;0;1;2;0;0;1;4;0;1;1;12;19;20;27;5;11;1;0;0;2;1;0;9;6
;;18;Sloot, J.H.N.;28;4;0;2;0;0;1;0;1;2;2;2;0;0;1;0;0;0;0;0;3;2;2;0;0;0;4;0;0;0;0;1;1
;;19;Jager-Lubbelinkhof, J.;129;1;2;1;0;0;73;0;0;1;25;1;2;0;2;0;0;0;1;1;0;1;0;0;0;1;2;0;0;10;4;1;0
;;20;Abbink, S.E.;83;5;19;12;0;0;0;2;1;4;1;13;5;0;9;1;1;0;0;0;0;2;0;2;0;0;5;0;0;0;0;0;1
;;21;Sahhar, N.E.;76;0;0;0;0;0;0;0;0;0;2;0;1;0;0;7;7;15;26;2;0;0;2;1;0;0;1;5;6;0;0;0;1
;;22;Niks, J.;33;0;0;0;1;0;10;0;2;0;7;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;3;0;0;7;0;0;0
;;23;van der Vinne, J.N.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;24;Jurjens, G.;9;0;0;0;0;0;0;4;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;25;Niks, B.;17;0;0;1;0;0;4;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;5;0;1;0;0;0;0;1;2;0;0
;;26;Mekenkamp, A.C.J.J.M.;17;1;9;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
;;27;Lubbelinkhof, H.G.;13;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;3
;;28;Bosch, J.;195;0;0;0;0;0;0;0;0;0;1;1;2;0;0;28;27;47;60;0;2;2;5;2;0;0;2;1;9;0;0;2;4
;;29;Haverkort, H.A.M.;21;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;4;4;0;0;0;0;0;0;0;0;4;5
;;30;ten Napel-Koster, A.J.;20;0;4;1;0;0;0;0;1;3;0;3;0;0;5;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0
;;31;Idzinga, A.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;32;Wendels, H.J.;31;0;0;0;0;0;4;0;0;0;1;0;0;0;2;0;0;0;1;1;2;3;7;2;0;0;0;0;0;2;0;1;5
;;33;Pape-Kleinpenning, M.M.H.;23;0;0;3;0;0;2;0;2;3;0;3;2;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Bruins-Spijkers, M.;10;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;2;1;1;3;0;0;0;0;0;0;0;0;1;0
;;35;Rutgers, C.;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;1;12;0;1;0;0;0;0;0;0;0;4
;;36;Snijders, G.M.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;2;3;2;0;0;0;0;0;0;0;0;0
2;CDA;;;2522;113;105;200;5;12;109;74;80;151;105;234;70;49;194;122;62;121;89;26;44;78;61;22;32;77;117;10;34;29;36;26;35
;;1;Vos, M.M.;1148;73;59;97;5;7;46;27;31;78;59;132;25;34;79;38;13;35;12;9;15;33;23;8;12;54;61;1;10;22;22;12;16
;;2;Niks-Doldersum, G.H.G.G.;204;4;3;10;0;0;55;5;5;3;33;9;5;0;12;5;4;2;1;5;0;2;1;1;2;1;7;1;2;7;14;2;3
;;3;Hospers, H.;102;3;5;8;0;0;0;0;6;15;2;20;4;2;23;0;0;0;0;0;1;2;0;0;1;6;3;0;0;0;0;0;1
;;4;Kamminga-Klompers, M.A.M.H.;83;5;3;11;0;0;1;4;4;6;1;9;9;2;6;2;4;0;0;0;0;3;1;3;1;0;4;0;3;0;0;0;1
;;5;Täge, G.H.G.;165;7;12;21;0;0;0;4;10;14;0;12;18;5;27;2;0;0;2;0;0;1;6;0;2;7;13;0;0;0;0;2;0
;;6;Bouwmann, T.J.;107;0;1;0;0;1;0;1;0;0;0;2;0;0;0;0;0;1;0;6;17;24;22;5;13;0;0;0;0;0;0;7;7
;;7;KleinJan, H.R.;29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;4;4;5;4;0;0;0;0;0;0;0;3;4
;;8;Stuiver, J.;14;2;2;1;0;1;1;0;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;9;Pot, J.E.;54;6;6;16;0;0;0;4;0;5;0;8;3;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;10;Bijlstra, H.J.;230;0;0;0;0;2;0;2;0;0;2;4;0;0;0;54;27;53;56;2;4;2;2;0;1;0;0;6;12;0;0;0;1
;;11;Braker, J.H.;79;1;7;7;0;0;4;1;8;6;0;10;0;0;29;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;1
;;12;Bosveld, A.;3;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Hoff, G.;28;0;4;4;0;0;0;11;2;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Akse, A.M.H.;95;6;2;15;0;0;2;0;4;14;3;14;3;3;8;0;1;1;0;0;0;3;0;1;0;1;13;0;0;0;0;0;1
;;15;Spenkelink, B.;57;3;0;8;0;0;0;7;4;5;0;7;2;2;2;0;0;0;0;0;0;2;0;0;0;6;9;0;0;0;0;0;0
;;16;Blokland, W.;19;3;1;1;0;0;0;4;2;0;0;1;0;1;2;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Koops van 't Jagt, A.;49;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10;3;16;9;1;2;1;0;0;0;0;1;1;3;0;0;0;0
;;18;Oordt, J.J.;56;0;0;0;0;1;0;4;1;1;2;0;0;0;1;11;6;12;7;1;0;1;1;0;0;0;2;1;4;0;0;0;0
3;ChristenUnie;;;1972;62;41;128;1;4;37;31;52;96;27;113;21;15;108;156;101;166;150;45;71;87;103;37;69;29;56;29;60;8;13;17;39
;;1;van Abbema-Wijtsma, M.;807;26;19;50;0;3;19;24;17;36;8;48;10;7;38;63;39;68;53;17;35;33;30;15;34;15;27;13;25;5;4;6;20
;;2;Hilberink, G.;177;19;6;20;0;0;1;1;17;16;2;18;6;6;19;2;2;1;5;2;4;3;6;0;1;4;9;3;1;1;1;1;0
;;3;Huisjes, A.T.;149;0;2;7;0;1;2;0;0;1;2;3;0;0;1;16;28;47;14;6;1;3;1;1;2;0;0;2;8;0;0;0;1
;;4;Kamphuis, G.I.;157;1;0;2;0;0;1;1;1;6;2;6;1;0;10;2;8;4;0;15;7;23;28;8;16;0;4;0;1;0;0;2;8
;;5;Kottier, B.J.;118;1;0;1;0;0;0;0;0;0;0;1;0;0;4;31;8;24;29;1;0;0;0;0;0;0;0;4;11;0;0;0;3
;;6;Plaggenmars, G.H.G.;34;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;5;11;1;8;0;1;0;0;0;0;2;0
;;7;Koerssen, B.;68;4;6;14;0;0;0;0;2;9;3;11;1;2;6;0;2;0;0;1;0;0;0;0;0;2;5;0;0;0;0;0;0
;;8;Mollenhorst, J.;20;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;1;1;5;0;1;0;2;0;1;0;0;1;2;0;0;0;0
;;9;Schoemaker, J.;59;3;2;11;0;0;1;2;2;14;0;8;2;0;13;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Haakmeester, J.;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;4;10;16;0;0;0;0;2;0;0;0;3;6;0;0;0;0
;;11;Dubbink, F.E.;30;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;1;0;0;0;4;2;6;8;2;1;0;0;1;0;0;1;1
;;12;Braakman, J.H.;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;4;11;0;0;1;0;0;0;0;0;3;4;0;0;0;0
;;13;Rozemuller, L.;7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;14;Mollenhorst, F.H.;17;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;1;3;3;2;0;0;0;0;0;0;0;0;1;0
;;15;Otten, J.H.;37;0;0;2;1;0;11;0;2;1;7;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;6;1;1
;;16;Haselhorst, E.G.J.;22;0;0;2;0;0;0;0;0;1;0;0;0;0;0;3;3;1;8;0;1;0;2;0;0;0;0;0;1;0;0;0;0
;;17;Bouwhuis, F.H.;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;6;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;18;Smelt-Wetering, N.;73;4;4;12;0;0;0;2;5;7;2;11;1;0;8;2;0;0;0;1;0;0;0;0;0;5;6;0;0;1;2;0;0
;;19;Meinderink-Staman, L.;55;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;1;0;0;0;13;13;11;2;3;0;1;0;0;0;0;2;5
;;20;Lok, P.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;21;Nijmeijer, G.J.;8;0;0;3;0;0;0;1;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Hulsegge, M.A.;29;4;0;2;0;0;0;0;1;4;0;4;0;0;4;1;2;1;0;0;0;0;0;0;1;1;3;0;0;0;0;1;0
4;Staatkundig Gereformeerde Partij (SGP);;;1604;95;167;210;2;5;40;49;37;111;58;175;29;16;79;64;15;50;25;37;19;50;21;10;14;42;97;7;19;14;23;8;16
;;1;Jonker, J.J.;1080;76;127;158;2;1;24;38;28;84;32;125;25;11;60;34;7;18;14;11;11;25;9;3;7;28;83;2;10;9;10;4;4
;;2;Bossers, M.;143;2;4;2;0;3;0;2;0;4;0;11;1;0;2;12;1;10;2;19;7;16;8;7;6;0;4;5;3;0;1;3;8
;;3;Engberts, G.;54;1;7;6;0;0;8;1;0;1;7;2;0;2;1;2;0;0;0;0;0;5;1;0;0;0;0;0;0;3;5;0;2
;;4;Koppelman, R.J.;35;2;8;3;0;0;0;4;2;3;0;5;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;5;van den Belt, S.;15;0;3;0;0;1;0;0;1;2;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;6;Hotting, M.;12;0;1;4;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Schippers, R.J.;33;0;0;0;0;0;6;0;0;6;8;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;2;4;1;1
;;8;Engberts, B.;18;2;2;4;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0
;;9;Bolier, L.G.;21;1;0;5;0;0;0;0;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0
;;10;Dekker, F.H.;21;1;6;3;0;0;0;0;0;0;8;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Meuleman, K.;67;0;0;6;0;0;0;0;0;0;0;0;0;0;0;15;7;20;8;0;0;2;1;0;1;0;1;0;6;0;0;0;0
;;12;Kok, J.;3;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Egas, A.;11;3;0;3;0;0;0;2;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Koppelman, D.D.L.;9;0;0;1;0;0;0;0;1;2;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;15;Bijl, IJ.R.;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;16;Lucas, T.J.;11;1;2;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0
;;17;Holland, D.H.;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;18;Bom, F.H.;27;1;4;4;0;0;0;0;0;7;1;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;19;Verboom, L.J.A.;10;1;1;2;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;20;Jonker, F.;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;21;Dekker, G.;5;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;22;Holland, H.D.;3;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Schipper, J.J.;7;0;1;1;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Boers, G.;9;1;0;3;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
5;PVV (Partij voor de Vrijheid);;;1494;19;51;86;3;2;135;27;17;61;70;80;19;16;87;51;31;25;21;62;72;99;129;70;53;19;46;1;20;11;36;25;50
;;1;Veltmeijer, E.F.;925;8;19;46;2;2;55;6;4;40;30;35;5;8;37;43;28;23;14;39;59;84;109;55;46;6;26;1;15;4;9;24;43
;;2;Spijker, F.;308;1;17;17;1;0;76;5;1;5;39;9;3;0;18;1;2;2;1;11;8;9;13;15;6;2;10;0;1;6;27;0;2
;;3;Harmeijer, V.;46;1;1;0;0;0;0;1;0;1;0;2;0;0;0;7;1;0;4;10;5;3;4;0;1;0;0;0;1;0;0;0;4
;;4;Ahrens, J.;156;9;14;17;0;0;0;12;9;10;1;27;10;7;25;0;0;0;1;1;0;0;1;0;0;6;5;0;0;1;0;0;0
;;5;Kikkert, R.;59;0;0;6;0;0;4;3;3;5;0;7;1;1;7;0;0;0;1;1;0;3;2;0;0;5;5;0;3;0;0;1;1
6;VVD;;;815;32;30;67;0;3;18;25;28;69;17;83;36;9;80;24;19;19;30;12;22;29;30;2;12;21;42;7;11;4;5;9;20
;;1;Kobes, H.R.G.;467;22;18;45;0;2;16;14;14;37;16;54;28;5;49;11;4;8;9;5;14;19;12;1;8;12;22;0;2;3;3;2;12
;;2;Veerenhuis, J.J.;44;2;3;2;0;0;1;3;1;5;0;5;2;0;3;0;0;1;0;2;0;1;0;0;0;3;7;2;0;0;0;0;1
;;3;Bijlstra, J.;84;2;0;1;0;0;0;2;2;5;0;5;1;0;7;6;6;3;10;2;2;2;6;0;2;3;1;5;7;1;1;1;1
;;4;Oude Vrielink, B.G.M.;18;0;3;2;0;0;0;2;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;2;0
;;5;van het Laar, C.;117;5;5;14;0;1;0;4;9;21;0;17;4;4;19;0;0;0;2;0;0;0;0;0;0;3;7;0;0;0;1;1;0
;;6;Ramaker, J.;48;1;1;3;0;0;0;0;0;0;0;1;1;0;1;7;9;6;9;1;0;0;5;0;1;0;0;0;2;0;0;0;0
;;7;Hofman, Z.W.;15;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;3;2;0;1;0;0;0;0;0;0;3;2
;;8;van Nederpelt, P.B.D.;22;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;4;4;5;1;0;0;0;0;0;0;0;0;4
7;Partij van de Arbeid/GROENLINKS;;;905;32;16;66;0;0;43;10;24;48;48;69;32;13;65;27;17;24;39;43;27;26;43;10;37;27;33;7;9;11;13;15;31
;;1;Reusken, S.M.;434;26;9;34;0;0;18;9;15;33;11;35;18;8;29;15;7;12;16;10;9;12;20;1;12;16;24;3;3;4;6;7;12
;;2;Bouma, D.J.;79;2;0;3;0;0;2;0;0;1;3;0;2;0;1;4;1;4;6;23;3;3;4;0;5;0;2;1;2;1;0;0;6
;;3;Kikkert, L.;67;0;1;6;0;0;11;0;2;0;12;5;2;0;2;4;0;2;4;2;1;3;1;0;0;1;1;1;1;0;3;0;2
;;4;Roolvink, R.F.;14;0;0;1;0;0;0;0;0;1;2;4;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;5;de Bruijn-Vente, A.;116;4;3;15;0;0;3;1;3;9;9;11;3;4;21;1;1;2;2;3;0;2;0;1;2;5;3;0;1;2;4;1;0
;;6;Spang-Middeljans, M.H.;127;0;1;4;0;0;2;0;0;0;4;5;1;0;3;3;5;4;6;4;11;5;17;8;18;4;2;2;2;0;0;5;11
;;7;van der Holst, T.J.;8;0;1;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;Veldhuis, G.J.;8;0;0;0;0;0;0;0;1;2;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;9;Roelofs, A.J.;5;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Reekers, J.M.;9;0;0;0;0;0;1;0;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Willigenburg, A.M.;8;0;0;1;0;0;0;0;0;0;1;0;0;0;3;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;Langendonk, G.M.;15;0;1;0;0;0;4;0;0;0;4;1;0;0;2;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;13;Broeze, G.J.;3;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
