Verkiezing;;Gemeenteraad Losser 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Losser;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0168;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;'t Lossers hoes;"Drive In Steenfabriek ""de Werklust""";Gymzaal de Havezate;Zwembad Brilmansdennen;Gymzaal De Vlasakker;Sporthal De Fakkel;Twents Carmel College;'t Sterrebos;Erve Boerrigter;Erve Boerrigter;De LosserHof;De Driehoek;Kulturhus;Dorpshuis De Glaan;Sporthal De Fakkel;Erve Boerrigter;Kulturhus;Sporthal De Fakkel;Erve Boerrigter;Kulturhus;Maartens-Stede & Oldenhove
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;BURGERFORUM;;;3895;553;78;225;335;233;471;148;74;180;70;29;176;306;82;242;37;68;388;61;128;11
;;1;ter Haar, E.C.;2056;319;40;131;185;121;262;81;52;74;36;17;68;145;38;125;16;40;215;32;50;9
;;2;Sligman, H.;209;33;1;6;31;11;27;15;1;4;1;0;13;30;4;6;0;4;16;0;5;1
;;3;Elsjan, H.F.M.;192;25;6;24;18;22;26;5;0;7;3;0;1;4;4;21;0;2;24;0;0;0
;;4;Luijerink, S.J.G.H.;207;38;12;11;12;20;26;8;4;2;1;5;4;8;4;18;2;1;28;3;0;0
;;5;Horstman-Hoekstra, M.A.;102;22;2;5;10;8;9;5;2;2;0;0;2;6;3;7;0;0;15;0;4;0
;;6;Oort-van Wakeren, I.J.;97;25;4;3;12;4;15;1;0;4;0;2;2;0;0;8;0;0;13;0;3;1
;;7;Filipsen, J.H.H.;144;11;4;1;8;10;14;6;1;1;0;0;13;39;1;3;1;5;9;1;16;0
;;8;Blaauwbroek, N.;101;16;3;9;11;5;7;3;1;4;2;2;0;9;2;9;0;0;16;1;1;0
;;9;olde Bolhaar-Stappenbeld, S.;82;7;0;6;2;5;10;5;2;3;1;0;5;6;10;8;0;0;7;0;5;0
;;10;Haamberg, B.H.S.;209;6;0;4;5;6;6;1;0;8;0;0;57;47;2;9;3;13;7;0;35;0
;;11;Peters, J.M.;55;4;0;4;7;5;11;0;0;0;1;0;1;2;2;11;1;1;5;0;0;0
;;12;Filipsen, J.;29;6;2;1;1;0;4;8;0;1;0;0;0;0;0;1;0;0;5;0;0;0
;;13;Binsbergen, P.A.;68;6;0;11;7;6;14;1;2;1;3;0;2;1;0;5;0;0;8;1;0;0
;;14;Wessels, A.J.;26;1;0;0;1;0;2;1;0;3;0;0;5;4;1;0;0;0;1;0;7;0
;;15;Koller, B.G.;8;0;0;1;2;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Oortman, H.F.M.;21;7;0;0;3;1;2;1;0;2;0;1;0;0;0;1;0;0;3;0;0;0
;;17;Venekamp, E.;97;3;1;0;3;0;1;0;4;44;13;0;0;1;0;0;11;0;0;16;0;0
;;18;Waaijer, J.G.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Regtop, W.J.;25;5;1;1;2;0;1;0;0;1;2;0;0;3;0;2;0;0;3;3;1;0
;;20;Simonetti, R.M.;17;1;0;1;5;1;3;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0
;;21;Super, M.R.;15;4;0;2;2;0;1;0;0;2;0;0;0;0;1;0;0;0;1;2;0;0
;;22;Medema, H.K.K.;12;2;0;1;0;2;5;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
;;23;Blockhuis, N.B.J.;11;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;1;0
;;24;Poorthuis, J.H.A.;17;6;0;0;0;0;8;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;25;Smith, H.;9;0;0;1;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0
;;26;Volmbroek, J.A.W.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;27;Tijdhof, J.G.M.;44;0;0;0;0;1;8;0;5;15;6;2;0;0;0;0;3;0;3;1;0;0
;;28;van Harte, W.C.;39;6;2;2;8;5;0;4;0;0;1;0;1;0;1;2;0;2;4;1;0;0
2;CDA;;;2944;275;35;83;117;109;184;44;378;396;249;77;120;104;67;96;119;25;167;252;39;8
;;1;Nijhuis, H.J.M.;892;87;10;26;50;35;54;17;26;147;105;26;19;15;18;36;56;3;57;94;5;6
;;2;Waanders, G.W.J.;125;23;3;7;10;26;17;7;0;1;0;3;2;5;1;5;0;2;10;1;1;1
;;3;Westerhof, L.H.;430;10;6;0;1;5;3;0;305;32;18;13;0;0;7;2;5;0;5;16;1;1
;;4;in het Veld, J.S.;211;24;4;3;4;3;16;0;0;3;0;1;48;48;6;9;0;9;6;3;24;0
;;5;Elferink, H.J.P.;282;54;8;17;25;21;40;16;0;1;0;10;12;5;5;15;0;6;45;2;0;0
;;6;Tiethoff, S.;138;15;1;11;10;3;13;0;1;0;0;0;30;27;2;4;0;5;8;2;6;0
;;7;Renard, J.K.F.;8;3;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
;;8;Visschedijk, J.B.A.;460;8;1;2;2;4;1;0;29;154;100;5;0;2;0;2;43;0;7;100;0;0
;;9;Pünt, T.H.;51;4;0;0;1;0;3;0;0;14;15;0;0;1;0;0;2;0;0;11;0;0
;;10;Hassing, L.M.;37;8;2;2;3;1;6;0;0;0;0;2;2;0;0;2;0;0;4;5;0;0
;;11;Meijer, K.M.A.;41;2;0;0;2;1;3;0;3;9;1;4;2;0;3;1;4;0;1;5;0;0
;;12;Jongsma, B.A.;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;13;Olde Rikkert-Punt, J.C.M.;12;0;0;0;0;1;1;0;0;4;1;1;1;0;0;0;1;0;1;1;0;0
;;14;Kwekkeboom, S.G.J.;60;5;0;1;3;1;12;1;3;0;1;3;2;0;22;3;0;0;3;0;0;0
;;15;Keujer, G.L;13;2;0;3;1;0;0;1;0;0;0;0;0;0;0;3;0;0;2;0;1;0
;;16;Bolscher, G.J.M.;16;2;0;1;1;4;3;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0
;;17;Tijhuis, J.A.J.;15;0;0;2;0;0;0;0;2;5;1;0;0;0;0;0;1;0;1;3;0;0
;;18;Elderink, J.G.H.;25;1;0;0;0;0;0;0;2;13;0;3;0;0;0;0;3;0;0;3;0;0
;;19;Gengler, B.G.;23;5;0;5;1;0;6;1;0;0;0;0;0;0;1;2;0;0;2;0;0;0
;;20;Kwekkeboom, J.G.M.;12;1;0;1;0;1;0;0;0;0;2;0;1;0;2;0;0;0;4;0;0;0
;;21;Mulder, B.H.M.;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Visschedijk-ten Veldhuis, A.G.M.;23;0;0;2;0;0;0;0;3;4;5;0;0;0;0;0;3;0;1;4;1;0
;;23;Riesewijk, J.;65;21;0;0;3;3;1;1;4;9;0;6;0;1;0;8;1;0;5;2;0;0
3;VVD;;;1007;152;34;94;70;56;102;15;24;108;32;16;25;47;15;64;31;8;60;36;15;3
;;1;Heegen, H.G.;353;48;15;32;27;15;33;5;13;45;9;6;8;11;7;30;6;2;19;14;7;1
;;2;Meerenburgh, J.P.;221;44;8;34;20;19;23;6;3;9;3;3;5;4;3;12;1;4;17;2;1;0
;;3;de Leeuw, R.G.;79;12;6;12;5;9;13;1;1;0;0;2;0;5;1;4;0;0;5;0;2;1
;;4;van Dijk, I;34;6;1;4;6;1;5;0;0;0;1;0;0;2;0;0;0;1;6;1;0;0
;;5;Hanterink, J.G.T.;14;7;0;0;3;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;6;Roord, L.;106;1;0;1;0;0;3;0;0;43;18;0;0;0;0;2;20;0;0;18;0;0
;;7;Liebrand - ter Maat, A.J.;40;1;0;0;4;6;11;2;2;4;1;1;0;1;2;3;0;0;2;0;0;0
;;8;Mekkelholt, G.A.;46;2;0;4;0;0;0;0;0;0;0;1;9;21;0;2;0;1;2;0;4;0
;;9;Keppels, J.W.;13;3;0;1;1;0;3;0;0;0;0;0;1;0;1;3;0;0;0;0;0;0
;;10;Konter, R.C.R.;61;19;3;3;4;3;7;1;0;0;0;2;2;2;0;7;0;0;6;0;1;1
;;11;Visscher, C.;5;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
;;12;Schraag, N.H.M.;5;1;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kühlkamp - Padberg, J.H.M.;30;8;0;2;0;1;2;0;5;3;0;1;0;1;1;1;1;0;3;1;0;0
4;D66;;;1170;181;17;102;98;82;152;32;23;59;48;15;18;62;23;85;17;5;108;25;17;1
;;1;van Essen, J.;792;147;16;86;76;58;99;19;15;21;18;9;15;34;17;47;7;5;84;6;12;1
;;2;Ringenoldus, R.;34;1;0;1;4;0;2;6;0;0;0;0;2;15;1;0;0;0;0;0;2;0
;;3;Wildschut, J.;102;10;0;3;6;3;8;2;6;16;9;1;1;8;2;10;3;0;6;6;2;0
;;4;Hogebrink, W.H.G.;69;6;0;7;1;7;17;3;0;2;1;3;0;0;2;12;0;0;8;0;0;0
;;5;Stienstra, J.A.;23;2;0;1;2;7;3;1;0;1;0;0;0;2;0;4;0;0;0;0;0;0
;;6;Ottenhof, S.;21;3;0;1;0;2;4;0;1;0;0;0;0;1;0;6;0;0;3;0;0;0
;;7;van Eldijk, B.;18;1;0;2;9;1;1;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0
;;8;Meijling-Togtema, M.E.;46;7;1;1;0;4;16;1;1;0;2;2;0;1;1;3;0;0;5;0;1;0
;;9;Bekke, D.A.;65;4;0;0;0;0;2;0;0;19;18;0;0;0;0;0;7;0;2;13;0;0
5;Partij van de Arbeid (P.v.d.A.);;;1139;134;25;45;65;31;136;26;16;38;25;11;73;221;14;50;19;46;72;11;79;2
;;1;Nordkamp, J.;814;84;17;28;43;19;97;22;4;9;8;6;67;197;11;37;6;36;54;3;65;1
;;2;Nijhuis, A.H.J.;68;4;1;3;1;0;0;1;2;22;12;2;0;0;0;0;12;0;1;7;0;0
;;3;Velders-Wientjes, J.;86;11;1;1;3;2;12;1;3;2;2;1;5;14;0;4;1;10;2;1;10;0
;;4;Oude Sogtoen, M.F.J.;79;19;4;3;8;2;14;0;5;2;2;0;0;4;2;5;0;0;9;0;0;0
;;5;Gargosky, J.C.J.;8;1;0;1;0;2;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0
;;6;Voerman, L.G.M.;21;4;0;4;3;2;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
;;7;Bakker, E.;12;1;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;2;0;3;0
;;8;Eulderink, J.B.I.;6;2;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;9;Oude Voshaar, H.J.D.M.;45;8;1;5;7;2;6;2;1;3;1;1;0;1;1;2;0;0;3;0;1;0
