Verkiezing;;Gemeenteraad Dinkelland 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dinkelland;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1774;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Dinkelland;Stichting Kulturhus Denekamp;Brandweerkazerne;Kulturhus De Mare;Gasterij de Smid;Kulturhus Tilligte Terra Nova;Cafe Groot Agelo;Café Restaurant van Olffen;Gemeenschapscentrum 't Trefpunt;Dancing Bruins;Kulturhus Rabo-de CoCeR;Café Pelle's Deurningen;Gasterij Oatmössche Ootmarsum;Brede School de Bres;Mobiel stembureau;Gemeentehuis Dinkelland;Gemeentehuis Dinkelland;Café Restaurant van Olffen;Café Restaurant van Olffen;Gasterij Oatmössche Ootmarsum;Gasterij Oatmössche Ootmarsum
;;3;Hemmer, EHJ;302;0;1;1;0;1;2;18;2;0;1;0;1;52;161;5;0;1;0;0;19;37
;;4;Derkman e/v Loohuis, EHM;239;48;13;21;10;20;52;6;4;3;4;9;6;5;5;1;15;13;1;2;0;1
;;5;Nieuweweme, NJ;255;3;0;1;0;1;1;5;45;130;9;0;3;0;3;6;0;0;15;33;0;0
;;6;Weersink e/v Paus, JCM;314;1;0;1;0;8;0;11;9;4;242;3;14;2;5;6;1;0;3;2;1;1
;;7;van Bree, EA;59;5;0;3;0;43;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0
;;8;Tenniglo, MFM;127;2;0;0;3;0;0;8;0;0;2;0;1;25;58;1;5;0;0;0;9;13
;;9;Tijdhof, GH;156;2;1;3;0;1;0;0;31;57;2;1;13;3;0;1;0;1;10;30;0;0
;;10;Bos, RM;241;67;17;40;21;5;37;4;0;0;0;2;0;1;4;0;12;28;0;2;0;1
;;11;Wigger e/v Duursma, CME;211;66;12;19;10;5;11;6;1;1;2;4;2;3;5;17;13;28;0;2;3;1
;;12;Blokhuis, BHGJ;527;9;1;0;4;1;1;3;2;2;52;2;432;2;1;2;1;5;1;6;0;0
;;13;Ensink, PJ;31;1;0;1;1;6;21;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;14;Franken Volmerink, HHS;179;1;0;1;0;6;0;3;6;1;148;7;5;0;1;0;0;0;0;0;0;0
;;15;Broekhuis, G;63;1;0;0;0;1;0;4;0;0;0;0;1;11;26;2;1;0;0;0;2;14
;;16;Rouhof, RD;22;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;1;0;0;0
;;17;Pünt, MG;47;2;0;0;1;1;0;5;0;0;1;0;1;6;21;0;0;2;1;1;4;1
2;Lokaal Dinkelland;;;4474;859;166;444;277;231;196;75;93;187;131;465;139;154;288;22;176;343;35;66;47;80
;;1;Tijkotte, B.A.;1448;189;37;125;40;47;37;31;30;32;23;414;70;58;87;11;53;84;12;22;12;34
;;2;Ruiter, R.E.;157;9;2;4;0;1;1;1;4;5;74;7;20;5;10;0;0;3;2;2;3;4
;;3;Rosens e/v Zwiep, J.B.M.;731;207;45;102;120;26;8;15;4;7;2;2;7;15;20;1;53;92;0;0;3;2
;;4;Schiphorst, P.G.B.;294;128;24;55;10;2;5;1;0;0;0;0;1;0;5;1;23;39;0;0;0;0
;;5;Flinkers, G.H.M.;189;4;1;8;0;1;0;2;16;80;6;4;23;2;7;0;3;1;7;17;4;3
;;6;Niehof - Sleiderink, M.E.G.;88;23;3;6;21;6;3;1;0;1;1;0;2;3;4;0;3;9;0;2;0;0
;;7;Bekkers e/v Metz, M.C.F.;49;1;1;0;0;0;0;0;8;20;2;0;2;0;2;0;0;0;5;8;0;0
;;8;Busscher, T.S.G.;99;13;2;13;2;2;2;4;15;10;6;4;2;3;9;1;2;2;3;4;0;0
;;9;ten Dam, A.M.T.;145;49;9;35;7;0;1;2;0;1;2;1;2;0;3;0;10;19;0;1;1;2
;;10;Krabbe, G.F.A.J.;58;9;2;9;21;2;0;1;0;0;1;1;2;0;6;0;0;4;0;0;0;0
;;11;Schepers, E.H.J.;55;27;4;8;0;0;1;0;1;1;0;0;0;1;0;2;3;7;0;0;0;0
;;12;Kosse, G.A.;82;0;1;3;0;1;0;1;1;2;0;1;0;20;41;0;0;1;0;0;10;0
;;13;Nijhuis, E.S.;86;29;1;15;2;2;0;0;0;0;0;0;0;2;2;0;7;12;0;0;1;13
;;14;Borgerink, N.H.J.;164;8;0;3;2;2;133;4;0;1;0;2;0;2;1;0;1;5;0;0;0;0
;;15;Meijerink, J.G.;118;3;0;0;1;0;0;5;0;0;0;0;0;24;59;0;0;0;0;2;7;17
;;16;Beld, R.M.;139;11;2;2;5;110;0;0;0;0;0;0;0;0;3;2;0;4;0;0;0;0
;;17;Kok, P.T.;29;0;0;0;0;0;0;0;1;18;0;0;0;0;0;0;0;0;3;7;0;0
;;18;Zwiep e/v de Lat, M.Z.;26;4;0;0;0;0;0;0;6;4;1;0;3;2;3;1;0;1;0;1;0;0
;;19;Pikkemaat, L.T.M.;95;38;9;11;4;4;0;1;0;2;1;1;0;5;8;0;2;8;0;0;0;1
;;20;Leeuwenkuijl, A.H.W.;31;0;0;5;0;0;1;3;0;0;0;3;0;5;7;0;0;0;0;0;5;2
;;21;Schiphorst e/v Kortink, H.D.;36;13;8;0;1;0;0;0;0;0;0;0;0;1;0;0;1;12;0;0;0;0
;;22;Musters e/v Wevers, H.H.M.J.;11;2;0;0;0;1;0;0;3;3;0;0;1;0;1;0;0;0;0;0;0;0
;;23;Schutte, A.H.J.;11;4;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;24;Nijsink, J.;28;11;1;7;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;0;0
;;25;Steunebrink e/v Vrijkorte, S.C.M.;59;7;1;0;2;0;1;0;2;0;8;23;1;1;3;1;3;2;2;0;1;1
;;26;Eppink, L.J.G.;57;18;4;15;1;0;0;0;0;0;0;0;0;1;2;0;2;14;0;0;0;0
;;27;Johannink, J.G.;189;52;8;15;37;24;3;3;2;0;4;2;3;4;4;2;8;16;1;0;0;1
3;VVD;;;2004;268;38;91;21;87;26;112;81;138;94;58;76;231;302;15;37;89;30;56;37;117
;;1;Brand, B.J.;780;104;16;28;12;37;12;32;46;88;36;38;54;64;70;6;14;33;17;33;12;28
;;2;Demmer-Munster, C.C.M;79;8;5;1;0;1;0;8;3;3;7;2;8;12;10;0;1;2;1;2;0;5
;;3;Poffers, J.S.;118;6;0;3;0;4;0;1;26;35;5;2;5;4;2;1;2;2;6;11;0;3
;;4;Steggink, A.B.J.;306;10;2;10;1;1;1;11;0;5;2;3;0;79;109;3;4;2;1;0;14;48
;;5;Olde Dubbelink, M.G.;85;46;6;12;3;0;1;0;0;0;0;0;0;0;2;0;4;11;0;0;0;0
;;6;Dijkkamp, R.;76;4;0;1;0;4;3;5;0;0;0;0;0;21;22;1;0;1;0;6;5;3
;;7;Rikkink-Knippers, J.H.M.;110;41;3;21;3;0;0;1;0;0;0;5;0;2;1;1;9;23;0;0;0;0
;;8;Haarhuis, E.;103;6;0;2;0;2;1;9;0;0;0;3;0;22;41;0;0;2;1;0;2;12
;;9;Munster, B.J.M.;49;0;1;0;0;0;0;0;2;0;41;0;5;0;0;0;0;0;0;0;0;0
;;10;Schulten, E.B.;46;3;0;0;0;0;1;2;0;0;0;1;0;17;14;0;0;0;0;0;0;8
;;11;Lansink, J.H.M.;61;1;1;0;2;1;1;35;0;1;0;2;1;4;7;1;0;1;0;0;0;3
;;12;Nijwening, S.R.;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;3;1
;;13;Kluvers, G.J.;67;29;3;11;0;5;1;0;1;0;0;1;0;0;0;0;3;12;0;0;0;1
;;14;Niehof-Duivelshof, E.G.;43;6;1;1;0;29;3;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0
;;15;Busscher, E.A.H.;10;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;2;0;0
;;16;Masselink, J.G.H.;12;0;0;0;0;0;0;7;0;0;0;0;0;0;4;0;0;0;0;0;1;0
;;17;Bruins-Ewouds, M.W.E.M.;4;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;18;Velthuis, A.M.;11;0;0;0;0;0;1;0;3;3;0;1;1;0;0;0;0;0;0;2;0;0
;;19;Weierink, J.;19;0;0;0;0;0;0;1;0;0;0;0;0;2;12;0;0;0;0;0;0;4
;;20;van der Graaf, A.A.C.G.;6;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1
;;21;Olde Kalter, R.F.;13;0;0;1;0;2;1;0;0;0;0;0;0;2;7;0;0;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1200;222;76;96;26;29;13;27;5;51;30;52;72;77;126;5;50;115;10;17;46;55
;;1;Severijn, R.M.;424;80;34;33;6;6;3;3;1;23;12;20;22;27;32;3;20;52;4;10;19;14
;;2;Riesmeijer-Schouten, W.K.;184;28;8;14;2;7;4;3;1;11;5;18;12;8;17;2;12;17;2;2;4;7
;;3;Slots, S.F.;39;9;1;4;0;1;2;1;0;2;0;0;0;1;10;0;1;5;0;0;1;1
;;4;van Zwieten, P.A.M.;52;5;0;1;0;0;0;15;0;1;4;1;0;9;4;0;1;1;0;4;3;3
;;5;Koehorst-Hamers, J.M.;93;21;5;17;4;4;1;1;1;5;3;2;2;2;7;0;6;9;0;0;1;2
;;6;Meek, H.A.;54;13;4;2;3;5;0;1;0;3;0;2;0;3;1;0;4;7;0;0;2;4
;;7;Peddemors, K.S.;104;2;4;1;0;1;2;2;1;1;1;1;1;18;38;0;0;0;1;1;12;17
;;8;Knol, H.J.;16;4;0;0;2;2;0;0;0;1;0;0;0;2;1;0;0;2;2;0;0;0
;;9;Kamphuis, S.;39;21;3;4;2;0;0;0;0;0;0;0;0;0;1;0;3;5;0;0;0;0
;;10;Bruns, L.A.M.;57;11;7;12;4;0;0;0;1;3;1;6;0;2;2;0;1;5;0;0;1;1
;;11;Mulders, F.J.P.;15;5;2;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
;;12;Slots, S.S.;38;0;0;0;0;0;0;0;0;0;2;0;34;0;1;0;0;0;0;0;1;0
;;13;Stroot, H.S.M.;19;5;4;2;0;0;0;0;0;0;0;0;0;2;0;0;1;5;0;0;0;0
;;14;Heuvels, A.J.F.;36;18;4;3;2;0;0;0;0;1;0;0;0;0;2;0;0;6;0;0;0;0
;;15;Donker, C.J.;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Hamers, C.C.M.;4;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;Ossenvoort-Beijerink, M.G.W.;23;0;0;0;0;0;0;0;0;0;1;1;0;2;10;0;0;0;1;0;2;6
5;Burgerbelangen Dinkelland;;;782;80;19;27;17;35;16;20;55;138;26;37;34;65;68;0;14;18;32;19;19;43
;;1;Maathuis, A.P.M.;595;58;14;25;12;26;10;19;44;108;17;18;19;55;52;0;14;12;27;15;15;35
;;2;Kraster, J.L.E.;72;9;1;1;3;3;2;0;3;16;6;11;7;0;1;0;0;0;2;3;1;3
;;3;Maathuis, R.G.;46;5;2;0;1;2;3;0;6;9;1;5;2;2;3;0;0;1;1;1;0;2
;;4;Kosters, J.A.;69;8;2;1;1;4;1;1;2;5;2;3;6;8;12;0;0;5;2;0;3;3
