Verkiezing;;Gemeenteraad Ooststellingwerf 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Ooststellingwerf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Dorpshuis Grietenijhûs;Kantine PB Nijeberkoop;MFA MeJander Oldeberkoop;Zaal 't Anker Elsloo;Dorpshuis Oons Dorpshuus Langedijke;De Schutse Appelscha;Dorpshuis Et Legien Fochteloo;Verenigingsgebouw Pro Rege Donkerbroek;Het Anker Oosterwolde;Dorpshuis De Mande Haule;MFC Waskemeer;De Kruiskerk Haulerwijk;De Enter Haulerwijk;Dorpshuis De Wijken Ravenswoud;De Miente Oosterwolde;Gemeentehuis Oosterwolde;Adviesbureau Tussen de Singels;Racketcentrum Steegdenhal;Gemeentehuis Oosterwolde (14-03);Gemeentehuis Oosterwolde (15-03);MFA MeJander Oldeberkoop (14-03);MFA MeJander Oldeberkoop (15-03);De Schutse Appelscha (14-03);De Schutse Appelscha (15-03);Verenigingsgebouw Pro Rege Donkerbroek (14-03);Verenigingsgebouw Pro Rege Donkerbroek (15-03);De Kruiskerk Haulerwijk (14-03);De Kruiskerk Haulerwijk (15-03);Het Anker Oosterwolde (14-03);Het Anker Oosterwolde (15-03)
;aangetroffen stembiljetten;;;11078;457;121;472;312;253;922;225;550;590;322;344;277;734;219;713;965;305;572;310;423;116;167;213;372;104;181;134;210;227;268
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;OoststellingwerfsBelang;;;2325;89;15;73;69;64;229;30;109;126;61;43;46;164;49;168;220;83;123;82;93;12;21;51;85;28;33;23;26;61;49
;;1;Verhagen, M.J.E.;1374;70;11;57;40;35;99;17;71;65;38;36;29;127;37;78;118;36;57;54;51;9;17;34;50;26;21;15;21;31;24
;;2;Beijert, B.;295;4;0;7;6;7;21;4;12;21;6;4;5;11;1;39;56;19;12;11;12;1;1;2;2;1;2;5;2;10;11
;;3;de Soek-  de Groot, H.C.;129;4;2;1;0;3;33;3;7;0;4;2;0;2;1;3;6;0;26;2;4;0;0;5;16;0;2;1;0;1;1
;;4;Dongstra, H.;104;2;0;0;0;5;8;3;7;15;6;0;4;1;3;5;6;17;2;1;8;1;0;3;1;0;0;1;1;0;4
;;5;Broersma - Ruiter, A.T.;97;0;0;1;1;0;3;0;4;11;2;1;0;15;1;12;10;3;4;6;7;0;1;1;1;0;2;1;0;7;3
;;6;Betten, H.;114;2;1;1;1;10;9;0;3;6;3;0;5;3;1;25;11;4;1;3;6;0;0;2;3;1;2;0;0;8;3
;;7;Wagenaar, A.;21;0;0;2;0;0;4;0;0;3;0;0;0;0;0;2;5;0;0;1;2;0;0;0;0;0;0;0;0;0;2
;;8;Elsenaar, J.;30;1;0;0;18;0;4;0;1;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0
;;9;de Boer, S.;64;0;0;2;3;1;24;0;1;0;0;0;0;1;4;1;1;1;13;1;0;1;1;2;5;0;2;0;0;0;0
;;10;Boomsma, M.B.;30;1;0;2;0;0;7;1;3;1;1;0;0;1;1;3;3;0;3;0;0;0;1;0;0;0;0;0;1;0;1
;;11;de Groot, A.;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;Foppes, F.;10;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;1;0;0;2;0
;;13;Schram, P.;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Poutsma, R.J.;21;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;1;1;2;0;0;0;0;1;6;0;0;0;0;2;0
;;15;Dijkstra, M.;26;0;1;0;0;3;9;2;0;0;0;0;3;3;0;0;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0
2;Partij van de Arbeid (P.v.d.A.);;;1362;70;12;58;20;19;104;26;47;68;25;20;39;73;34;114;127;64;52;57;98;7;16;23;38;9;20;20;20;37;45
;;1;Nijboer, J.;823;42;6;32;19;11;64;20;34;45;9;12;16;33;23;73;79;46;33;36;74;5;13;19;0;8;11;3;7;20;30
;;2;Polpe, L.H.;56;2;1;1;0;0;0;0;0;4;1;0;0;3;2;3;3;0;0;0;4;0;0;0;31;0;0;0;0;0;1
;;3;Vledder, J.;52;4;0;7;0;0;2;1;0;0;1;1;2;0;3;8;10;2;1;2;3;1;0;0;1;0;0;0;1;1;1
;;4;de Jong, S.S.;19;0;0;0;0;2;3;0;0;0;0;0;0;0;0;2;5;5;1;0;0;0;0;0;0;0;0;0;0;1;0
;;5;Eijlander, M.;18;0;0;0;0;0;3;0;0;2;1;0;0;2;0;2;3;0;0;0;3;0;0;0;0;0;0;0;0;1;1
;;6;Smit, O.;30;1;0;0;0;0;11;0;1;0;0;0;0;0;1;1;1;2;6;1;0;0;0;1;4;0;0;0;0;0;0
;;7;Vrolijk, E.M.S.;142;13;4;8;1;5;13;2;7;5;12;3;4;10;5;7;5;2;4;5;3;1;1;1;0;1;4;3;5;3;5
;;8;Meijerhof, I.C.;24;0;1;0;0;1;1;0;2;3;0;1;0;0;0;3;4;1;0;1;2;0;0;2;0;0;2;0;0;0;0
;;9;Wiegersma, H.K.;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;2;3
;;10;Dankbaar, E.A.;33;2;0;1;0;0;1;0;0;2;0;0;0;0;0;4;6;0;1;2;3;0;0;0;1;0;1;0;0;5;4
;;11;Jonker, P.;13;1;0;0;0;0;0;3;0;0;1;0;0;0;0;0;2;1;2;0;1;0;1;0;0;0;0;0;0;1;0
;;12;Jager - Wöltgens, M.A.J.;34;1;0;0;0;0;2;0;2;3;0;0;0;1;0;6;3;4;1;6;2;0;0;0;1;0;0;0;0;2;0
;;13;Hijlkema, F.;109;3;0;9;0;0;4;0;1;4;0;3;17;24;0;4;6;1;3;3;3;0;1;0;0;0;1;14;7;1;0
3;CDA;;;1243;53;22;53;32;19;90;13;79;69;40;81;38;70;15;77;101;20;48;35;40;8;17;34;38;14;31;9;26;41;30
;;1;Kraak, P.G.J.;601;34;4;24;23;12;39;8;44;27;16;32;17;30;8;30;50;9;24;17;22;7;3;13;16;10;17;3;17;24;21
;;2;Swart, T.W.;43;0;3;6;0;1;2;0;3;2;0;3;0;2;0;6;2;0;0;0;0;1;8;0;0;0;0;0;0;3;1
;;3;van Tellingen, M.;129;5;2;8;1;2;5;2;5;16;0;5;3;6;1;13;8;3;4;10;8;0;0;5;5;1;1;0;1;4;5
;;4;van Noordenburg, A.C.M.;72;3;11;11;5;1;3;0;4;5;6;0;0;2;0;2;8;0;0;1;0;0;2;0;6;0;1;0;0;0;1
;;5;Duursma, A.;40;2;1;0;0;0;2;1;0;3;10;3;4;4;0;5;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0
;;6;van Weperen-Cuperus, M.C.;138;8;1;2;3;1;12;1;22;5;4;5;3;1;4;12;16;4;3;2;1;0;2;2;1;3;12;2;2;4;0
;;7;Bouma, J.;80;0;0;1;0;2;21;1;0;5;0;3;0;0;2;3;1;0;17;1;2;0;0;9;8;0;0;0;0;3;1
;;8;Huurman, F.M.;30;0;0;0;0;0;1;0;0;0;0;2;5;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
;;9;Roijinga, I.;56;0;0;0;0;0;5;0;0;0;3;27;4;6;0;0;1;0;0;0;0;0;2;2;0;0;0;3;2;0;1
;;10;van Esch, E.;54;1;0;1;0;0;0;0;1;6;1;1;2;1;0;5;14;2;0;4;7;0;0;3;2;0;0;0;0;3;0
4;VVD;;;1234;72;5;43;61;33;89;58;108;75;59;21;17;60;13;75;134;15;69;27;40;16;13;16;41;8;19;2;13;7;25
;;1;van Weperen, S.;532;25;4;15;35;16;37;12;37;28;26;13;6;38;7;28;63;4;27;13;20;8;4;9;12;6;13;1;10;6;9
;;2;van't Klooster, B.G.;226;9;0;2;10;6;14;31;15;21;19;4;8;9;0;17;16;6;8;6;5;2;0;3;6;1;2;1;1;0;4
;;3;Derks, S.;75;3;0;2;1;0;10;13;6;4;0;0;0;2;3;4;5;1;6;1;5;0;1;0;3;0;1;0;1;1;2
;;4;Kramer, M.H.;37;2;0;0;0;2;2;1;0;2;1;0;0;0;0;7;8;1;1;2;2;0;0;0;3;0;0;0;0;0;3
;;5;Baar, J.;57;4;0;4;1;2;4;0;4;7;1;0;0;2;0;6;9;0;2;1;1;0;0;4;1;0;0;0;1;0;3
;;6;van Tellingen, E.C.;14;0;0;0;0;0;0;0;4;2;3;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Zijlstra, P.R.;50;0;0;0;1;0;9;0;0;2;0;0;0;0;0;3;5;0;18;2;1;1;0;0;8;0;0;0;0;0;0
;;8;Tel, H.;61;1;0;0;0;0;4;0;34;2;7;2;2;3;0;1;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0
;;9;Berkenbosch, P.H.;35;1;0;0;1;0;2;0;0;1;0;2;0;1;0;4;11;2;2;2;2;0;0;0;0;0;0;0;0;0;4
;;10;Hummelink, J.H.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Gorter, C.;90;26;0;0;11;7;4;1;7;5;1;0;0;3;2;1;11;0;3;0;2;0;0;0;4;1;1;0;0;0;0
;;12;Veenhouwer, J.H.;55;1;1;20;1;0;3;0;1;1;1;0;0;1;0;1;3;0;2;0;2;5;8;0;4;0;0;0;0;0;0
5;GROENLINKS;;;1387;54;26;73;39;40;98;54;66;64;47;43;23;96;47;64;102;32;80;34;52;21;26;24;53;12;20;17;23;18;39
;;1;Vos, H. J.;413;15;3;22;10;8;34;13;17;21;9;17;6;13;20;28;41;12;20;18;14;7;6;9;18;3;4;6;3;4;12
;;2;Berends, R. M.;60;6;0;1;1;1;0;1;14;4;3;4;0;2;0;1;5;0;5;0;1;0;3;0;0;1;4;0;1;0;2
;;3;Schievink, E.;384;15;1;24;13;10;15;10;6;15;13;15;12;53;8;16;29;11;14;7;23;6;8;3;10;7;1;5;15;9;10
;;4;Telkamp, A.;149;4;2;4;8;2;10;7;20;13;1;3;0;6;5;6;12;7;1;8;4;1;2;2;5;1;9;0;0;2;4
;;5;van Belle, S.A.;48;0;0;0;0;2;1;12;2;2;1;2;2;9;0;4;3;0;2;0;0;0;2;0;0;0;0;3;1;0;0
;;6;Edema, l.;158;8;2;2;0;14;29;8;0;5;0;0;2;4;8;5;6;1;28;1;7;0;0;7;14;0;1;1;0;0;5
;;7;Frankema, T.;23;0;0;1;0;0;2;0;3;0;12;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
;;8;Fokkema, J.;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Sipsma, J.;48;3;17;1;7;0;0;1;1;4;1;0;0;0;2;1;2;1;3;0;0;1;0;0;0;0;0;0;0;1;2
;;10;van Alten, C.W.;13;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;0;0;1;0;0;2;0;0;0;0;0;2;0;0;0
;;11;Boom, W. E.;11;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;2;0;0;0;0;0;0
;;12;Wardenier, M.;34;1;1;17;0;0;2;1;0;0;1;0;0;0;0;0;1;0;0;0;0;4;5;1;0;0;0;0;0;0;0
;;13;Hafkenscheid-Groot, M.F.;18;0;0;0;0;0;0;1;1;0;0;1;1;2;3;1;0;0;1;0;0;0;0;0;2;0;0;0;3;2;0
;;14;van Weperen, J.R.;12;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3
;;15;Koopman, G.;13;1;0;0;0;3;0;0;2;0;0;0;0;0;1;0;2;0;0;0;3;0;0;1;0;0;0;0;0;0;0
6;ChristenUnie;;;834;12;2;16;15;14;35;8;40;33;30;70;76;123;4;22;44;10;36;10;19;7;4;7;19;13;22;42;64;15;22
;;1;Leistra, B.;481;10;0;8;8;11;18;4;25;19;13;43;43;80;0;14;20;8;21;5;12;6;2;5;13;6;12;26;38;3;8
;;2;Schaaij, W.;54;0;0;2;1;0;1;0;0;0;6;7;12;8;0;1;2;0;0;0;1;1;0;0;2;0;3;3;3;1;0
;;3;Boonstra, J.;154;1;2;4;4;0;4;1;8;9;5;12;16;20;4;2;12;0;7;0;2;0;2;0;4;2;1;11;16;2;3
;;4;Rouwhorst, H.;5;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;5;From, A.;10;1;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
;;6;Vogelzang, A.;32;0;0;0;1;1;12;1;3;0;0;1;0;0;0;0;2;0;6;0;1;0;0;2;0;0;0;0;0;2;0
;;7;Trip, W.D.;36;0;0;1;1;2;0;1;0;0;0;0;1;1;0;2;4;1;2;3;3;0;0;0;0;0;2;0;1;5;6
;;8;Terpstra, L.;9;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;9;van den Bos, M.;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;10;Kusters, A.A.;14;0;0;0;0;0;0;0;0;3;2;0;0;0;0;2;3;0;0;2;0;0;0;0;0;0;0;0;1;0;1
;;11;de Vries, W.;13;0;0;0;0;0;0;0;4;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;0;0
;;12;Jansma, M.;21;0;0;1;0;0;0;1;0;0;4;4;1;2;0;0;0;1;0;0;0;0;0;0;0;2;2;0;0;1;2
7;D66;;;649;35;11;39;14;16;38;8;23;35;10;21;7;34;22;31;70;14;37;13;32;14;15;15;19;10;10;5;13;18;20
;;1;Minnema, I.A.;212;27;6;15;3;4;12;1;4;11;4;4;3;7;5;14;16;5;12;3;10;10;4;8;3;5;2;3;4;3;4
;;2;van der Tempel, R.;206;2;4;13;7;3;23;5;2;14;2;5;1;12;15;6;22;3;15;3;9;2;4;6;11;1;1;1;4;5;5
;;3;Reitsma, P.S.;37;0;0;0;2;2;0;0;0;1;0;1;0;1;0;0;15;3;1;1;5;0;1;0;1;0;0;0;0;3;0
;;4;Prins, I.T.;31;4;0;3;2;3;1;0;1;1;0;0;0;1;2;1;2;1;2;1;2;0;0;0;1;0;0;0;0;0;3
;;5;Hilbers, J.F.M.;14;0;0;0;0;0;2;0;0;0;0;9;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;6;Vloet, A.J.;48;1;1;2;0;0;0;0;12;2;3;0;0;0;0;3;4;1;3;0;2;0;2;0;2;2;6;0;0;1;1
;;7;Boon, J.P.M.;12;0;0;0;0;0;0;0;0;3;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;5
;;8;Izelaar, C.J.;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;;9;Berends, P.;17;0;0;0;0;0;0;0;0;0;1;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0
;;10;Schadenberg, B.;8;0;0;0;0;2;0;0;0;0;0;1;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;11;Lackroij-Pruim, P.I.M.;10;1;0;3;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1
;;12;de Vroome-Bakker, M.M.;18;0;0;2;0;0;0;0;2;0;0;0;0;0;0;5;2;0;1;1;3;0;1;0;0;0;0;0;0;0;1
;;13;Munting, T.S.;30;0;0;1;0;2;0;2;0;2;0;0;0;1;0;0;7;1;3;2;1;1;0;1;0;0;0;0;0;6;0
8;Vrije Partij Ooststellingwerf;;;1050;34;20;38;33;34;112;14;39;58;31;28;23;76;25;83;102;45;64;30;20;7;12;19;28;4;14;9;15;12;21
;;1;Oostra, B.;497;12;15;27;13;15;56;9;26;12;15;21;16;63;16;23;31;15;18;12;9;1;8;13;12;3;6;6;15;4;5
;;2;Messham, E.;123;3;3;2;6;3;8;4;2;11;2;2;1;6;4;13;21;5;7;4;0;2;2;0;1;1;0;0;0;3;7
;;3;Hoogenkamp, H.T.;75;5;0;1;4;4;6;0;2;8;1;0;0;0;0;3;11;5;5;6;3;0;0;0;3;0;2;1;0;3;2
;;4;Olijve, R.;112;3;1;1;3;0;32;0;2;1;4;2;1;3;3;8;6;4;23;0;0;0;1;5;6;0;1;1;0;0;1
;;5;Hartholt, H.;80;6;0;1;7;11;4;1;2;10;4;0;0;1;0;8;3;6;6;1;3;3;0;0;1;0;0;0;0;0;2
;;6;de Vries, P.;78;1;0;6;0;1;5;0;2;9;3;0;3;3;2;13;9;2;3;4;3;1;1;1;0;0;2;1;0;2;1
;;7;Slofstra, K.H.;61;1;0;0;0;0;1;0;1;5;2;0;2;0;0;12;19;7;2;2;2;0;0;0;1;0;1;0;0;0;3
;;8;van den Berg, K.;24;3;1;0;0;0;0;0;2;2;0;3;0;0;0;3;2;1;0;1;0;0;0;0;4;0;2;0;0;0;0
9;Lokaal Sociaal Ooststellingwerf;;;945;38;8;75;29;14;123;13;37;58;17;16;7;31;10;69;63;22;62;21;26;24;43;24;51;6;9;7;8;18;16
;;1;Moes, M.;350;8;2;7;12;3;69;4;10;16;6;6;6;15;6;17;29;7;37;5;10;2;6;15;32;2;2;3;7;3;3
;;2;ter Heide, S.;228;13;4;59;7;2;9;4;13;14;4;2;0;2;1;3;2;1;5;6;5;18;35;2;2;2;4;2;0;4;3
;;3;van den Berg, N.;100;3;2;4;2;3;9;0;0;13;2;0;0;2;0;17;14;2;2;3;3;2;0;0;4;1;1;0;0;5;6
;;4;Boersma, W.J.;24;0;0;0;0;0;1;0;2;0;0;3;1;2;0;1;7;1;3;0;1;0;0;0;0;0;0;0;0;1;1
;;5;van Gelderen, J.;21;0;0;0;2;0;8;1;1;0;0;0;0;0;0;1;0;0;3;0;0;1;0;2;2;0;0;0;0;0;0
;;6;van der Linden, R.F.;29;0;0;0;0;0;0;0;1;4;1;0;0;0;0;14;0;3;0;1;3;0;0;0;2;0;0;0;0;0;0
;;7;Zeefuik-Huisman, M.;105;0;0;4;5;5;5;3;6;5;1;4;0;10;0;12;10;6;5;5;3;1;2;2;1;1;2;2;0;3;2
;;8;Oosterhof, H.;11;2;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0
;;9;Schurer, J.;13;10;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Nijland, J.;14;2;0;0;0;1;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
;;11;Hoiting, H.H.;21;0;0;0;0;0;6;0;2;0;0;0;0;0;1;2;1;0;5;0;0;0;0;2;2;0;0;0;0;0;0
;;12;de Vries, R.M.;5;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;van der Veen, IJ.;24;0;0;0;0;0;10;0;0;4;1;0;0;0;1;0;0;0;1;1;0;0;0;0;5;0;0;0;0;0;1
