Verkiezing;;Gemeenteraad Koggenland 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Koggenland;;;;;;;;;;;;;;;;;;;;;
Nummer;;1598;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis de Goorn;de Mantel;de Ridder;de Batter;Dorpshuis Zuidermeer;Kwiek '78;Meerzicht Scharwoude;NH Kerk Oudendijk;de Koggenhal;'t Tuinhuis;vv Victoria O;Oude School Hensbroek;Dynamo Ursem;de Brink Obdam;de Berk;Gemeentehuis de Goorn maandag;de Brink maandag;Gemeentehuis de Goorn dinsdag;de Brink dinsdag
;;7;Groot, M.T.J.;38;1;4;7;0;23;1;0;0;0;0;0;0;0;1;0;1;0;0;0
;;8;Sjerps-van Diepen, M.C.A.;57;6;4;2;9;3;3;1;0;1;0;0;0;8;1;7;6;0;6;0
;;9;Stam, J;110;11;3;5;41;1;8;1;3;5;0;0;0;18;5;0;1;0;5;3
;;10;Kranenburg, A;33;0;17;0;0;0;1;1;1;0;5;0;0;0;3;0;0;0;0;5
;;11;Klaver, A.J.A.;157;10;17;9;9;24;12;0;3;2;2;2;38;7;10;3;1;2;2;4
;;12;van Baar, C.J.;53;1;4;0;0;0;3;0;0;1;0;1;35;0;4;0;1;0;0;3
;;13;Fabriek, L.D.J.;14;4;0;0;0;0;2;0;3;0;0;0;0;0;0;0;2;0;3;0
;;14;Beek, J.G.;27;2;1;0;2;0;2;0;0;3;0;0;0;3;0;0;5;0;9;0
;;15;Knijn, N.C.;19;6;0;3;0;0;6;0;1;0;0;0;0;0;0;1;0;0;2;0
;;16;Zwarekant, L.J.;13;3;0;0;1;0;1;0;2;2;0;0;0;0;0;0;1;0;3;0
;;17;Vlaar, J.A.;11;1;0;0;0;0;0;0;0;0;3;1;0;1;1;0;0;2;1;1
;;18;de Boer, P.C.J.M.;5;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
;;19;Nanne, J.A.;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
;;20;van der Peet, P.G.M.;27;1;1;10;0;0;0;1;2;4;0;0;0;1;1;0;1;2;3;0
3;GBK;;;2611;256;168;149;107;48;142;63;52;97;156;103;246;74;339;124;88;95;143;161
;;1;van Kampen, A.M.C.;1257;134;126;52;71;20;81;30;33;41;46;36;188;48;106;37;34;39;80;55
;;2;Schipper, A.;122;34;3;0;4;0;28;4;0;6;4;1;2;4;2;1;7;2;19;1
;;3;Schuitemaker, F.P.;223;15;5;73;4;7;3;6;3;6;0;2;0;5;0;74;8;1;8;3
;;4;Klok, R.;212;3;2;5;1;1;2;1;4;1;36;12;2;1;83;2;3;17;1;35
;;5;Sleven, M.;174;43;7;11;7;1;9;5;2;26;0;2;1;2;2;5;27;2;21;1
;;6;de Weerd, R.J.;42;2;0;1;0;1;0;0;1;0;9;8;0;1;9;0;0;4;1;5
;;7;Kramer, R.H.J.;220;6;3;0;4;1;1;0;2;6;31;26;8;0;82;1;0;12;3;34
;;8;Hoven, P.P.P.;76;2;0;0;2;0;0;6;1;3;14;10;2;0;22;1;0;4;0;9
;;9;Mol, A.J.G.;63;0;0;2;1;0;2;2;0;0;2;0;41;0;6;0;0;2;0;5
;;10;Schipper, C.;78;9;1;0;8;0;12;4;3;6;6;1;1;10;2;1;6;2;6;0
;;11;Goorman, E.;52;0;1;2;1;0;2;1;0;0;6;3;1;0;15;2;0;9;0;9
;;12;Klaver, M.J.M.;92;8;20;3;4;17;2;4;3;2;2;2;0;3;10;0;3;1;4;4
4;Partij van de Arbeid (P.v.d.A.) / GROENLINKS;;;1208;126;58;114;58;38;49;78;51;37;33;34;46;47;116;103;75;32;69;44
;;1;Rietveld, K.J.A.M.;587;63;21;38;34;29;31;26;25;11;17;12;33;33;58;50;36;18;27;25
;;2;van der Lee, A.C.M.;212;43;4;15;15;3;9;9;2;19;3;6;4;7;8;15;21;2;22;5
;;3;Bouma, R.J.F.;99;6;3;36;3;0;3;1;4;1;2;1;2;1;3;25;2;0;6;0
;;4;Rientjes, A.H.G.;18;5;0;4;0;0;1;0;1;1;0;0;1;0;0;1;1;0;3;0
;;5;Broers, J.A.;46;0;0;0;2;0;1;36;0;0;0;0;0;0;0;2;2;0;3;0
;;6;Blomberg, M.A.;41;1;1;1;0;2;0;0;15;1;2;0;2;3;3;2;2;2;1;3
;;7;Jonkers, K.S.D.;39;1;15;2;0;3;1;2;1;1;2;0;1;0;2;1;5;0;2;0
;;8;Hietbrink, A.;58;1;0;0;1;0;0;0;0;0;4;8;0;0;34;0;0;3;1;6
;;9;Arentsen, P.;23;0;0;12;0;1;0;1;1;0;0;0;0;0;0;6;0;1;0;1
;;10;van Randen, S.;26;1;2;2;0;0;0;0;2;3;2;4;1;1;5;0;0;2;0;1
;;11;van den Brand, A.;18;0;1;0;2;0;0;2;0;0;0;2;2;1;0;0;3;2;1;2
;;12;Borgers, S.M.M.;41;5;11;4;1;0;3;1;0;0;1;1;0;1;3;1;3;2;3;1
5;D66;;;715;93;45;47;35;22;56;33;27;38;39;18;32;15;63;20;36;11;51;34
;;1;Kremers, F.P.P.J.;222;29;10;18;14;6;22;9;9;8;3;4;16;6;16;6;10;2;20;14
;;2;Korthout, R.;70;11;1;12;7;1;5;6;5;2;0;0;3;0;3;4;0;3;5;2
;;3;Vlaar, W.A.;96;13;1;1;1;1;8;0;0;16;9;5;5;1;12;2;11;2;4;4
;;4;Folmer, J.J.;37;1;4;2;0;12;10;0;0;0;0;1;0;1;1;3;1;0;1;0
;;5;de Wilde, A.A.;90;29;4;3;2;0;0;9;11;7;0;2;1;1;2;1;8;0;9;1
;;6;Lijesen, S.B.;112;8;2;6;8;1;10;8;0;4;11;2;2;4;23;2;6;0;9;6
;;7;Benning, A.M.C.;39;2;20;2;3;1;0;1;2;0;1;0;2;1;1;2;0;0;1;0
;;8;Stam, C.J.;49;0;3;3;0;0;1;0;0;1;15;4;3;1;5;0;0;4;2;7
