Verkiezing;;Gemeenteraad Brummen 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Brummen;;;;;;;;;;;;;;;;;;;;;
Nummer;;0213;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Wagenloods van het Gemeentehuis;Stembureau Concordia;Stembureau De Bronckhorsthoeve;Stembureau tent op speelveld nabij Schaepmanstraat;Stembureau Het Buurthuis Leuvenheim;Stembureau Kantoorpand 'Onder de Linden' Oeken;Stembureau Buurtcentrum Oortveld, Empe;Stembureau Gemeenschapshuis De Wheme, Hall;Stembureau Tjark Riks Centrum;Stembureau Bibliotheek Eerbeek;Stembureau Cultuurhuis Pater Dekker (groot);Stembureau Servicepunt Eerbeek;Stembureau Sportcafe De Bhoele;Stembureau Cultuurhuis Pater Dekker (klein);Stembureau Personal Sports Brummen;Stembureau Stembureau De Wagenloods (maandag);Stembureau stembureau De Wagenloods (dinsdag);Stembureau Bibliotheek Eerbeek (maandag);Stembureau bibliotheek Eerbeek (dinsdag)
;;8;Nijenhuis, G.;13;1;1;3;1;1;1;0;0;0;1;0;2;0;0;0;0;0;0;2
;;9;Verver-Drenth, G.J.;12;0;2;0;1;0;0;1;1;1;0;1;0;3;1;0;0;1;0;0
;;10;Vermeer, D.;40;0;0;1;1;0;0;0;3;3;6;4;5;7;2;0;0;0;4;4
;;11;Zweers, H.;14;3;2;1;0;0;5;0;0;0;1;0;0;1;0;0;0;0;0;1
;;12;Verver, K.;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;de Boois, H.G.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
;;14;Meindersma-Matulessy, M.E.;61;0;2;1;2;0;1;0;1;3;3;6;10;15;6;0;0;0;5;6
3;Partij van de Arbeid (P.v.d.A.);;;1314;41;127;73;136;42;39;25;39;71;52;70;90;163;80;48;41;48;47;82
;;1;van Enck-Hulleman, M.;586;27;77;51;77;23;29;14;24;24;17;24;24;35;26;22;23;21;17;31
;;2;Kamberg-van Klinken, A.K.;279;3;7;4;4;3;1;4;6;27;19;26;31;67;24;2;3;2;19;27
;;3;Sjerps, C.E.;56;4;4;2;11;5;0;0;2;2;0;1;2;0;1;7;8;4;1;2
;;4;Cox, S.E.D.;30;0;8;1;10;0;0;3;1;0;0;0;0;1;0;2;0;3;0;1
;;5;Elshof-Kablau, M.M.;104;3;17;8;24;4;4;2;1;0;4;1;3;1;1;12;6;11;1;1
;;6;van Weteringen, W.;25;2;5;5;5;2;0;0;1;1;0;0;0;0;1;1;0;1;0;1
;;7;Soer, J.;25;1;0;0;0;0;0;1;1;1;1;2;4;7;4;0;0;0;0;3
;;8;de Vries, B.;50;0;3;1;2;2;0;0;2;3;1;1;10;13;5;0;0;0;2;5
;;9;Gierman, G.;36;0;0;1;0;1;0;0;1;5;3;6;2;9;2;0;0;2;0;4
;;10;Flore, C.;23;0;1;0;1;1;0;0;0;2;0;3;1;6;5;0;0;2;0;1
;;11;van Ooijen, E.M.;29;0;5;0;2;1;5;0;0;0;3;2;4;2;0;0;1;2;2;0
;;12;Tunç, I.C.A.;64;1;0;0;0;0;0;1;0;6;4;4;8;20;11;0;0;0;3;6
;;13;Klok, B.;7;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;0;0;2;0
4;GROENLINKS;;;1505;91;194;95;109;102;55;62;62;82;109;32;56;96;31;54;58;86;47;84
;;1;Inberg, P.;654;59;105;43;63;39;27;30;37;26;28;9;19;18;11;28;23;45;22;22
;;2;Sloetjes, J.G.G.;288;7;21;14;8;12;6;14;14;27;31;15;17;39;10;3;4;12;6;28
;;3;Vondeling, J.A.;41;4;6;1;3;5;5;0;1;5;0;0;1;2;1;6;1;0;0;0
;;4;Hagman, J.;164;2;6;1;4;6;4;3;3;14;33;3;11;20;3;3;5;5;15;23
;;5;de Jonge, J.W.;51;1;17;3;7;0;0;2;3;2;0;0;0;3;1;5;4;1;0;2
;;6;Bosma, T.;8;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;3;0;0
;;7;van Herksen, R.;36;2;2;2;3;15;1;0;0;0;0;1;0;0;0;1;5;4;0;0
;;8;Koedijk, O.;55;4;8;10;4;2;8;2;1;3;1;0;1;1;0;2;5;3;0;0
;;9;Alqalqeely, H.A.;30;1;7;3;8;1;0;0;0;0;1;1;1;0;0;0;4;1;1;1
;;10;Peters, J.G.;28;1;1;2;2;1;0;4;2;2;3;0;4;3;1;0;0;0;0;2
;;11;Wolvekamp, P.S.;14;0;2;0;0;9;0;1;0;0;0;0;0;0;0;0;2;0;0;0
;;12;Lucassen, N.E.A.;18;2;5;2;2;1;1;1;1;0;0;0;0;1;0;0;1;1;0;0
;;13;Alberts, G.J.;22;0;1;1;1;0;0;0;0;1;3;3;0;7;3;0;0;0;1;1
;;14;Gerritsen, N.W.;27;2;3;6;2;1;0;3;0;0;1;0;0;0;0;3;0;5;0;1
;;15;Vijfwinkel, W.;4;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;16;Meulenbeek, O.;11;2;1;1;0;1;1;0;0;0;0;0;0;0;0;1;2;2;0;0
;;17;van Nieuwstadt, J.M.I.C.;7;2;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0
;;18;Garssen, B.;4;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0
;;19;Smit, R.;21;2;5;1;0;3;0;1;0;0;2;0;2;0;0;1;2;1;1;0
;;20;Beelen, H.;19;0;1;1;0;1;2;1;0;2;4;0;0;0;0;1;0;1;1;4
;;21;van Herwijnen, W.E.R.;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;CDA;;;921;46;85;48;58;43;32;53;70;76;37;34;54;65;51;35;19;37;38;40
;;1;Zuidwijk-van Lenthe, M.D.;476;22;50;32;36;29;19;33;31;31;14;14;20;18;27;27;13;25;19;16
;;2;Enthoven, P.W.;47;10;11;3;5;4;0;0;1;1;1;0;1;0;1;3;4;1;0;1
;;3;Boerefijn, R.;122;1;0;5;3;5;9;12;29;8;4;7;8;9;4;0;0;1;7;10
;;4;Brouwer-de Geus, D.;18;4;6;0;1;0;0;0;1;0;0;0;1;1;0;0;1;2;0;1
;;5;van der Leest, J.A.;70;1;3;0;4;0;1;0;0;12;9;7;6;14;5;0;0;1;2;5
;;6;Pelgrum, H;8;0;0;0;0;0;0;0;0;5;0;1;0;1;0;0;0;1;0;0
;;7;Siebelink, S;9;3;1;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;8;Ypma-Lieffers, G.J.;24;1;6;1;3;2;3;0;0;0;2;0;0;0;0;2;0;4;0;0
;;9;van Aggelen, J.P.M.;8;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;1;3
;;10;der Nederlanden, R.J.;14;0;1;2;0;0;0;2;2;3;0;0;1;0;2;0;0;0;1;0
;;11;Boer, H.;25;0;0;0;1;0;0;1;0;7;2;4;2;4;1;0;0;2;0;1
;;12;Savelberg, J.P.L.;14;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;4;2
;;13;van Asperen, S.;7;1;2;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;14;Blom-Uiterweerd, M.A.;65;3;4;0;1;2;0;4;4;8;5;1;11;12;4;1;1;0;3;1
;;15;ten Klooster, C.;6;0;0;0;0;0;0;0;1;0;0;0;0;1;2;1;0;0;1;0
;;16;Ypma, J.;8;0;1;2;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0
6;D66;;;980;57;100;57;75;30;41;49;70;43;51;38;41;76;31;31;39;57;22;72
;;1;Schinkel, R.F.;418;22;32;19;11;13;16;9;7;22;31;24;27;47;22;15;15;18;16;52
;;2;van As, M.J.;130;5;19;22;34;4;9;2;3;3;1;1;0;3;0;2;6;13;1;2
;;3;Holtslag, M.;125;6;7;6;3;5;5;3;54;4;8;4;0;6;2;4;1;3;1;3
;;4;Magermans, D.E.;186;21;31;5;19;7;1;8;4;10;9;7;7;11;2;6;11;15;3;9
;;5;Boersma, M.R.H.;11;0;5;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2
;;6;Berends van Loenen - Verster, H.;45;3;1;1;0;0;2;24;2;2;2;1;1;1;1;1;2;0;0;1
;;7;Meulenaar, H.O.O.;19;0;0;0;0;0;0;0;0;0;0;1;6;6;4;0;0;0;0;2
;;8;Snelders, M.T.E.;36;0;4;1;5;0;8;2;0;1;0;0;0;1;0;3;3;7;0;1
;;9;Hasenaar, B.A.;10;0;1;2;2;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0
