Verkiezing;;Gemeenteraad Oude IJsselstreek 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oude IJsselstreek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1509;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Gendringen;Sportzaal Prinsenhof Gendringen;DRU Industriepark Popzaal Ulft;Clubgebouw SDOUC;De Eendracht Ulft;St Joris Ulft;Gildegebouw Netterden;Zaal Koster Etten;Dorpshuus Varsselder;Koenders Breedenbroek;Ter Voert Megchelen;Van Pallandthal Kantine Varsseveld;De Kwaksmolle Varsseveld;Borchuus Kulturhus Varsseveld;Kulturhus De Rietborgh Terborg;Georgiuskerk Terborg;Schuttersvereniging Willem Tell Silvolde;De Lichtenberg Silvolde;'t Molentje Silvolde;Buurtschapshuis Sinderen;Buurtschapshuus Heelweg;Kulturhus de Vos Westendorp;De Wesenthorst  ingang Heggenseveld Ulft;Gemeentehuis Gendringen;DRU Industriepark Popzaal Ulft;Georgiuskerk Terborg;Van Pallandthal Kantine Varsseveld;Gemeentehuis Gendringen;DRU Industriepark Popzaal Ulft;Georgiuskerk Terborg;Van Pallandthal Kantine Varsseveld;Mobiel stembureau Ma;Mobiel stembureau Di;Mobiel stembureau Woe
;;10;Gijsbers, S.P.;127;1;2;3;2;3;5;3;2;0;1;0;2;1;2;11;11;16;14;28;0;3;0;2;0;2;0;1;0;8;3;1;0;0;0
;;11;Heesen, P.;51;0;0;2;7;10;10;0;1;1;0;0;1;0;0;4;1;0;2;2;0;0;0;2;1;1;4;0;0;0;1;1;0;0;0
;;12;Kock, B.H.L.M.;201;1;0;3;0;3;1;0;170;2;0;0;1;0;1;3;2;0;0;1;0;0;0;1;0;1;2;0;0;1;6;0;0;0;2
;;13;Steentjes, M.;240;8;9;9;21;6;10;0;7;3;4;2;1;3;1;14;8;37;22;47;2;0;0;5;0;6;1;0;3;7;3;0;0;0;1
;;14;Wondergem, L.R.J.;30;1;0;4;1;14;4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0
;;15;Epping, I.H.;88;2;2;1;2;2;4;0;2;2;5;1;0;1;1;4;6;13;13;12;1;0;5;2;0;0;3;0;1;2;0;1;0;0;0
;;16;Salemink, R.R.M.;199;20;83;6;11;5;6;2;1;2;1;5;0;0;0;3;0;0;3;0;0;0;2;10;10;0;2;0;14;10;1;0;0;2;0
;;17;Jillings - de Vries, E.D.;26;6;0;0;0;3;0;0;0;0;1;0;0;0;0;3;1;4;1;2;0;0;1;1;0;2;0;0;0;1;0;0;0;0;0
;;18;Postma, P.B.M.;80;7;4;2;2;0;0;51;0;5;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;2;0;1;0;1;0;0;0;0
;;19;Klompenhouwer, U.;105;1;0;0;0;0;2;0;0;2;6;0;17;31;19;0;1;2;1;2;4;4;4;0;0;0;0;3;0;0;1;5;0;0;0
;;20;Hunting, H.J.G.M.;41;3;3;1;2;1;3;0;0;1;0;19;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;3;1;0;0;0;0;0
;;21;van Minnen, R.D.;46;0;0;2;0;0;0;0;0;0;0;0;0;0;0;18;18;3;1;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0
;;22;Looman, A.T.M.;8;0;0;1;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;23;Hengeveld, H.J.;12;0;0;3;0;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
;;24;Hofs, H.B.;56;0;2;1;0;0;0;0;0;0;0;0;7;10;2;0;0;0;0;1;4;18;2;0;0;0;1;1;1;0;0;6;0;0;0
;;25;Colenbrander, G.T.;28;0;0;3;1;2;0;0;0;0;0;0;0;3;0;0;1;2;2;1;0;0;0;0;1;0;9;0;0;3;0;0;0;0;0
;;26;Verwaaijen - Roosendaal, M.G.H.;66;0;0;1;0;0;1;0;0;0;0;0;0;0;1;22;22;1;0;0;0;0;0;1;2;0;0;1;0;0;14;0;0;0;0
;;27;Rijnsaardt, W.E.N.;54;0;0;0;0;0;0;0;0;0;0;0;8;17;18;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0;1;1;0;0;2
;;28;Kuster, L.G.;44;1;0;2;4;3;16;0;1;3;0;0;1;0;1;0;0;1;0;0;0;0;1;4;3;0;0;0;2;0;0;1;0;0;0
2;CDA;;;2034;119;186;64;77;72;113;16;125;128;83;222;40;48;58;38;47;56;33;40;42;15;25;53;52;40;17;29;46;36;41;35;15;12;11
;;1;Elstak, J.M.;542;19;26;18;13;14;15;3;18;12;63;6;18;29;36;15;15;22;12;16;32;9;15;12;5;10;6;12;6;10;18;21;7;2;7
;;2;Hakvoort, G.W.M.;227;17;22;6;0;4;3;2;4;1;7;105;1;0;2;1;1;6;3;3;2;0;1;5;9;2;0;1;7;1;1;0;5;4;1
;;3;Kock, J.T.;364;62;102;7;12;14;12;5;7;6;2;15;8;1;7;1;11;4;1;0;2;3;5;5;30;5;6;1;20;4;3;2;1;0;0
;;4;Pragt-Fles, L.;99;0;4;4;3;3;3;0;6;0;3;0;0;2;1;11;3;20;12;10;0;0;1;1;0;1;2;1;0;2;6;0;0;0;0
;;5;Driever, R.W.A.M;248;6;9;24;36;18;61;2;5;3;1;0;2;0;1;1;4;1;3;4;0;0;0;22;4;16;1;1;3;12;3;0;0;5;0
;;6;ten Have, J.H.E;148;4;13;1;1;2;4;0;2;103;0;1;1;1;0;1;1;0;0;1;2;0;0;3;0;1;0;0;1;2;0;2;0;1;0
;;7;Gijbels, R.J.A.;87;0;0;0;3;1;1;0;74;0;0;0;1;0;0;0;3;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0
;;8;Westerhof, J.A.M.;46;1;0;4;1;11;4;0;1;1;2;1;0;0;2;2;1;2;0;1;0;0;1;3;0;3;0;0;1;2;0;0;0;0;2
;;9;Schoneveld, J.;64;0;0;0;0;0;0;0;0;0;1;0;9;15;9;0;0;0;0;0;4;3;2;0;0;0;0;12;0;0;0;8;0;0;1
;;10;Overduin-Biesma, M.A.;10;0;1;0;1;0;3;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;11;Grootveld, A.W.;11;0;0;0;0;4;1;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wormskamp, C.F.;31;0;0;0;5;0;0;0;0;0;2;0;0;0;0;5;5;0;0;3;0;0;0;0;0;0;1;0;0;0;9;1;0;0;0
;;13;Hunting, R.H.J.M.;111;4;0;0;1;0;2;3;3;1;1;90;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;2;0;0
;;14;Bergevoet, T.J.A.;33;6;8;0;1;0;3;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;0;0;7;0;0;0;0;0;0
;;15;Kiwitz, G.T.B.M.;13;0;1;0;0;1;1;0;2;1;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0
3;Partij van de Arbeid (P.v.d.A.);;;1781;65;56;123;110;91;130;6;32;28;25;36;52;65;42;52;77;70;62;81;30;11;29;88;38;81;37;37;29;96;50;36;6;9;1
;;1;Oort-Löwenthal, W.W.;705;26;22;30;18;22;34;3;15;12;13;13;19;22;19;24;36;53;34;57;18;6;18;18;22;19;19;24;14;19;28;15;6;6;1
;;2;Haverdil, J.W.;319;11;8;44;43;31;35;1;7;8;2;8;1;2;0;1;13;1;3;1;1;0;1;18;4;34;5;3;8;20;3;0;0;2;0
;;3;van Londen-Schreuder, S.M.E.;174;1;2;14;15;15;28;0;2;2;2;0;2;1;1;2;3;3;7;6;5;0;0;14;7;8;3;1;1;24;4;1;0;0;0
;;4;Gerritsen, M.L.;89;7;2;6;5;8;8;0;3;2;1;0;0;3;2;0;4;2;5;1;2;1;0;7;1;5;0;0;2;8;1;3;0;0;0
;;5;Tempels, D.A.M.;69;4;4;8;5;6;4;0;1;1;2;0;2;1;4;2;2;1;0;0;0;0;0;7;1;8;0;0;0;6;0;0;0;0;0
;;6;van Amersfoort, T.J.;25;1;3;2;4;3;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;1;1;0;0;0;1;0;0;0;0;0
;;7;van de Groep, J.O.;20;2;2;0;1;0;0;1;0;1;0;0;1;0;0;0;0;3;2;2;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0
;;8;Gerritsen, A.A.G.M.;18;0;1;1;4;0;2;0;0;0;2;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;1;2;0;0;0;0
;;9;Ratering-Siemes, A.;20;0;3;1;1;0;1;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;10;Hartjes, J.;13;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;5;1;0;0;0;0
;;11;Slager, R.A.;24;0;0;0;0;0;0;0;0;0;0;0;7;7;3;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;3;0;0;0
;;12;Jolink-Scheers, G.F.J.;23;0;0;0;0;0;1;0;1;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
;;13;Harinck, R.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Breuker, P.;54;0;0;0;0;0;0;0;0;0;0;0;14;19;9;0;0;0;1;0;1;0;4;0;0;0;0;1;0;0;0;5;0;0;0
;;15;Oberink, E.;15;0;0;2;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0
;;16;Straub, H.J.W.;8;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;17;Mellendijk, J.G.;3;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Leijzer, M. M.;21;6;0;2;6;0;0;0;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
;;19;de Vries, A.T.M.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;0;0;0;0;0;2;0;2;2;2;3;0;0;0
;;20;Duenk, A.G.M.;17;0;1;3;0;0;3;0;0;0;0;2;0;0;0;0;1;2;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;0;0
;;21;Epskamp, L.G.N.M.;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;1;1;0;0;0;1;0;0;4;0;0;0;5;0;0;0;0
;;22;Smit, E.V.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;van Amerongen, H.;10;1;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0
;;24;Bockting, H.J.L.M.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0
;;25;Siemes, B.J.;8;0;1;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;26;Wisselink, H.B.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0
;;27;Penninx, A.;19;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;4;5;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
;;28;Scheuter, A.A.;30;0;0;0;0;0;0;0;0;0;0;0;5;6;3;0;1;0;1;0;3;1;2;1;0;0;1;3;0;0;0;3;0;0;0
;;29;Menke, A.H.M.;37;1;0;6;4;1;8;1;0;2;0;0;0;2;0;1;0;0;0;0;0;0;0;2;1;0;1;0;0;5;0;2;0;0;0
4;VVD;;;1363;53;42;70;64;68;79;49;58;24;26;22;57;55;57;57;71;52;49;54;21;18;34;37;19;24;13;34;40;42;37;28;1;2;6
;;1;Spijkers, R.B.;494;16;15;28;12;8;22;0;19;14;14;8;45;37;37;11;19;19;8;15;11;12;16;10;3;4;3;33;12;7;7;25;0;1;3
;;2;Spronk, J.H.;124;1;6;4;10;1;2;0;7;0;1;2;3;3;5;3;7;20;8;14;4;0;0;1;4;0;5;0;6;1;6;0;0;0;0
;;3;Tekinerdoğan, M.;208;14;4;10;9;35;19;2;0;0;0;2;0;3;1;30;6;2;22;7;1;0;0;8;0;2;0;0;8;14;8;0;0;0;1
;;4;Sluiter, J.M.H.W.;177;12;10;9;26;17;13;0;15;5;4;4;2;1;2;0;1;0;2;5;1;0;0;10;3;12;0;0;7;13;0;0;1;1;1
;;5;Hordijk, J.;21;0;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;1;1;0;0;0;0
;;6;Willemsen, O.T.;96;3;0;5;4;1;2;18;1;0;2;3;4;8;7;2;7;4;1;2;2;1;0;1;3;1;3;1;3;0;4;3;0;0;0
;;7;Teunissen-Sticker, T.J.B.;43;2;1;1;1;1;2;0;2;0;1;1;1;3;2;1;2;3;4;3;2;1;1;1;3;1;0;0;2;1;0;0;0;0;0
;;8;van Dee, M.W.;56;1;2;5;0;0;3;29;1;0;0;0;2;0;0;3;3;0;0;1;0;0;0;1;1;0;2;0;0;2;0;0;0;0;0
;;9;Lautenschutz, S.F.;20;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;3;1;0;1;0;3;3;0;0;0;0;0;0;0;3;0;0;0;0
;;10;Schoemaker, B.W.T.;52;4;2;1;2;5;15;0;2;1;4;2;0;0;0;0;0;0;1;2;0;0;0;5;0;3;0;0;2;1;0;0;0;0;0
;;11;van Wees, W.A.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wissing-Kunst, F.;38;0;1;6;0;0;0;0;0;1;0;0;0;0;0;4;10;2;2;2;0;0;0;0;2;1;0;0;0;1;5;0;0;0;1
;;13;Berendhaus, P.;30;0;0;0;0;0;0;0;4;3;0;0;0;0;2;2;10;1;1;2;0;1;0;0;0;0;0;0;0;1;3;0;0;0;0
5;D66;;;671;28;26;31;22;19;22;32;22;30;5;11;18;20;35;22;40;25;24;36;18;10;13;14;11;21;11;8;21;27;15;30;0;1;3
;;1;Vanderhoeven, C.;314;18;7;11;12;13;13;28;6;6;3;6;10;7;13;11;23;8;7;14;12;6;6;6;5;8;6;2;10;13;11;10;0;1;2
;;2;van Dijk, M.;39;1;1;3;0;0;0;0;0;1;1;0;0;2;0;2;1;3;6;8;0;0;1;0;1;3;1;0;0;1;0;3;0;0;0
;;3;van der Meer, A.P.F.M.;151;7;14;4;7;3;7;2;8;22;0;2;3;1;6;4;6;6;4;3;3;2;0;8;3;8;1;0;5;9;0;2;0;0;1
;;4;Smelt, C.J.A.;62;1;2;10;1;1;0;0;0;1;1;1;1;1;3;1;7;6;5;8;0;0;2;0;0;0;1;0;3;2;3;1;0;0;0
;;5;Buevink, L.A.;27;0;0;1;0;0;0;1;2;0;0;0;2;1;3;2;0;2;0;2;3;0;1;0;0;0;1;0;1;0;0;5;0;0;0
;;6;Meulenbeek, K.;62;1;2;1;0;1;2;1;0;0;0;2;2;8;9;1;2;0;2;1;0;2;3;0;2;1;1;6;1;2;0;9;0;0;0
;;7;van Uffelen-Bal, C.A.;16;0;0;1;2;1;0;0;6;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
6;PRO!;;;1598;81;54;106;64;64;68;8;56;11;16;29;28;63;34;133;76;89;126;100;20;13;31;51;30;34;22;5;49;59;55;21;1;0;1
;;1;Siner, G.;675;32;16;41;20;33;32;1;6;1;9;11;2;30;13;97;29;42;75;44;10;7;8;16;10;13;10;1;13;28;18;6;0;0;1
;;2;Bogerd, J.H.;66;0;1;1;0;2;1;0;0;2;1;1;10;9;11;0;1;2;3;2;1;3;7;1;0;0;0;0;0;0;0;7;0;0;0
;;3;Versteeg, E.H.M.;158;5;8;22;16;7;15;2;16;8;0;4;1;1;0;3;3;5;3;1;2;0;3;4;1;9;1;0;6;8;3;1;0;0;0
;;4;Peters, H.J.M.;58;2;3;1;1;0;1;1;0;0;0;0;5;13;3;0;0;1;3;2;2;1;8;0;0;0;0;3;0;1;1;6;0;0;0
;;5;Esser, G.E.;59;12;13;0;3;0;4;3;0;0;0;4;0;0;1;0;0;0;1;2;0;0;0;1;8;0;0;0;3;2;2;0;0;0;0
;;6;Tuit, S.;85;5;1;0;0;5;2;1;17;0;0;4;2;3;3;9;4;0;1;6;0;0;2;5;0;3;2;1;0;2;6;0;1;0;0
;;7;Rouvroye-Verberne, E.;84;0;0;4;0;3;0;0;9;0;0;0;7;6;0;9;11;2;2;1;2;1;2;6;0;0;4;0;3;2;10;0;0;0;0
;;8;Keller, H.;29;0;0;1;1;0;1;0;2;0;0;0;0;0;1;0;2;3;6;2;0;0;0;1;1;0;2;0;0;1;5;0;0;0;0
;;9;Splithof, R.J.M.;84;16;8;5;11;3;0;0;0;0;1;2;1;0;0;0;2;1;6;0;0;0;0;2;6;2;0;0;17;0;1;0;0;0;0
;;10;Falke, R.H.G.M.;14;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0
;;11;de Leeuw, M.F.A.M.;14;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;van Groningen, H.A.M.;26;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;3;2;6;4;0;0;0;0;2;2;0;0;0;2;1;0;0;0;0
;;13;Liebrand, R.L.J.;33;1;0;12;1;6;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;6;0;0;0;0;0
;;14;Mientjes, G.C.B.;51;0;0;1;0;1;0;0;2;0;0;0;0;0;2;3;3;10;5;8;1;0;1;0;0;0;3;0;4;3;3;1;0;0;0
;;15;Kraan, M.J.G.M.;22;1;0;1;2;0;1;0;0;0;0;0;0;0;0;1;1;2;7;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
;;16;Gries, R.J.M.;26;1;0;3;0;0;0;0;1;0;0;0;0;0;0;0;6;7;1;3;0;0;0;0;0;1;0;0;1;0;2;0;0;0;0
;;17;van Aken, P.J.W.M.;16;0;0;1;5;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0
;;18;Heebink, T.W.M.;23;1;0;1;0;1;0;0;0;0;4;2;0;0;0;0;3;0;0;5;1;1;0;2;0;0;0;0;0;1;1;0;0;0;0
;;19;van Schoorl, B.H.E.;15;0;1;3;2;2;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;20;Vesters, J.M.G.M.;29;0;1;4;2;0;2;0;0;0;0;1;0;0;0;0;2;2;1;6;1;0;0;5;0;2;0;0;0;0;0;0;0;0;0
;;21;Olthof, J.W.;31;5;1;2;0;0;0;0;0;0;0;0;0;0;0;2;3;8;4;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7;DorpEnPlattelandBeweging;;;2357;63;73;62;45;60;45;30;249;58;146;64;117;95;69;65;89;67;69;131;149;160;127;29;44;19;15;37;34;36;38;67;1;0;4
;;1;Vreeman, H.J.H.;581;26;35;28;16;18;26;14;12;21;37;14;17;16;17;12;21;31;6;36;19;26;36;12;11;10;9;11;16;13;4;10;0;0;1
;;2;Lubbers, M.M.;369;7;15;5;11;16;8;7;7;14;27;10;23;7;8;16;19;13;17;22;40;7;18;3;7;5;1;4;4;7;10;10;0;0;1
;;3;Dieker, K.G.H.M.;372;6;3;7;9;5;5;2;212;14;4;7;4;3;1;12;8;4;0;10;6;1;11;5;8;2;1;0;4;5;8;4;1;0;0
;;4;Gosselink, P.H.M.;113;4;2;3;3;1;0;0;5;1;21;10;16;4;4;0;2;0;5;6;1;5;3;0;8;0;0;3;2;0;1;3;0;0;0
