Verkiezing;;Gemeenteraad Barneveld 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Barneveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis ingang Oude Raadhuis;Emmaüskerk Barneveld;Appartementencomplex Rumah Maluku;Ontmoetingscentrum Bronveld;Goede Herderkerk;Openbare Basisschool De Lijster;Schaffelaartheater ingang Harmonie;Nederlands Pluimveemuseum;Voetbalvereniging SDV Barneveld;Willem van Oranjeschool;Woonzorgcentrum Elim Barneveld;Zorgcentrum Nebo;"Locatie Burgthof, PCBS ""De Fontein""";Tennisbaan De Watermolen;Veluwehal Barneveld I;Geref.Gemeente in Nederland De Hoeksteen I;Veluwehal Barneveld II;Sporthal Oosterboshal;Moluks Sociaal-cultureel Centrum Jajasan Batu Tjapeu;Dorpshuis De Belleman;Evangeliegemeente de Kandelaar;Brandweerkazerne Voorthuizen;Woon en Zorgcentrum Nieuw Avondrust;Ontmoetingscentrum De Eng;Kerkcentrum Odulf;Kerkelijk Centrum 't Kerkheem;Ichthuskerk;Kerkelijk  Centrum Bethabara I;Dorpshuis De Hofstee;Kerkelijk gebouw Eben-Haëzer;Kulturhus De Essenburcht I;Kulturhus De Essenburcht II;Dorpshuis De Wardborg;Dr. Kruimelstaete;Multifunctioneel Centrum Glindster;Sportpark Overbeek;Hervormde Kerk Kootwijk;Kerkelijk Centrum Bethabara II;"Ger. Gem. in Nederland ""De Hoeksteen"" II";Gemeentehuis ingang Oude Raadhuis;"Geref. Gemeente in Nederland ""De Hoeksteen I""";Kerkelijk Centrum Bethabara I;Kulturhus De Essenburcht;Gemeentehuis ingang Oude Raadhuis;"Geref. Gemeente in Nederland ""De Hoeksteen I""";Kerkelijk Centrum Bethabara I;Kulturhus De Essenburcht
;;10;Pladdet, E.;60;7;0;1;1;3;0;3;1;0;5;0;0;2;3;5;3;2;0;0;0;2;0;0;0;0;0;0;1;0;0;5;2;0;1;0;0;0;2;3;1;0;0;0;3;4;0;0
;;11;Wijnne, B.;73;1;1;2;0;3;0;4;0;0;10;0;0;4;3;1;1;1;6;0;0;1;4;0;0;0;1;0;0;1;3;3;1;0;0;6;0;0;0;8;0;2;1;0;2;1;2;0
;;12;van Ginkel, J.;23;3;0;0;1;2;0;0;0;0;0;0;0;5;1;0;2;1;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0
;;13;van Leijenhorst, H.;98;1;0;0;0;1;0;0;1;0;0;0;0;2;1;3;2;0;1;0;0;8;10;0;7;9;5;2;9;5;1;6;4;0;1;0;1;0;2;2;0;0;6;0;0;1;4;3
;;14;van Dijkhuizen, G.W.;28;1;2;1;0;1;0;0;3;0;1;1;0;6;1;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;3;0;0;0;0;0;2;0;0
;;15;Kleijer, H.;33;1;2;3;0;0;0;1;3;2;1;0;0;0;0;0;3;1;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;4;0;0;0;0;2;0;0;0;0;0;4;0;0
;;16;van Dijk, H.;18;1;0;0;0;1;0;0;0;2;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;0;0;0;1;0;0;0;0;0;0;0
;;17;Floor, C.;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;3;0;0;0;1;0;0;1;0;0;0;14;16;0;0;0;1;0;0;1;0;0;1;1;0;0
;;18;Hardeman, S.;90;3;2;1;0;6;0;1;2;0;11;0;0;6;12;3;4;2;4;4;0;0;0;0;0;0;0;0;0;4;2;1;2;1;0;0;3;0;0;5;1;4;0;0;1;4;0;1
;;19;van 't Goor, J.;20;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;5;1;2;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0
;;20;Kleijer, A.;41;0;1;2;0;0;0;0;1;0;1;0;0;3;0;0;3;0;0;0;1;1;1;0;4;1;1;0;3;3;2;0;1;0;0;1;0;0;0;2;0;0;6;0;0;0;2;1
;;21;van de Bruinhorst, G.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3
;;22;van de Craats, C.;19;0;2;0;0;0;0;0;0;2;0;0;0;3;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0
;;23;Ottema, W.;13;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;4;0;0;3;0;0;0
;;24;Roos, A.H.;10;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0
;;25;Ploeg, G.;11;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;0;1;0;0;1;0;0;0
;;26;van Schothorst, D.;83;4;5;5;2;7;0;5;4;0;4;1;0;3;2;0;3;0;2;1;5;0;1;0;0;1;0;0;0;0;2;0;2;0;0;9;2;0;0;6;0;4;1;0;1;1;0;0
;;27;van de Pol, G.;45;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0;0;0;3;0;20;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;7;0;0;1;2;0;2;0;0;0;0;0
;;28;van Eckeveld, M.;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0
;;29;Hak, P.W.A.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Westerlaken, P.J.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1
;;31;Bettink, D.M.;4;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Vliet, H.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0
;;33;de Koning, J.;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;4;3;0;0;0;0;0;0;0;0;0;0;3;0;0
;;34;Bronkhorst, J.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;0;0
;;35;van den Bosch, J.;19;2;2;0;0;0;1;1;3;0;0;0;0;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0
;;36;Brons, L.;28;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;5;2;0;0;0;2;0;3;2;1;0;1;0;1;0;1;0;3;0;0;0;0;0;0;2;0;0
;;37;Duerink, F.J.;24;3;3;0;0;2;0;3;0;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
;;38;van den Bunt, P.D.;4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Druijff, W.;15;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;3;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;40;Reijnders, W.J.;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;van Ee, M.H.;13;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;42;van Dronkelaar, R.;24;4;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;9;0;0;1;0;0;0;0;0;0;1;0;1
;;43;van Ee, H.;26;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;3;4;0;2;0;0;0;0;0;0;0;0;0;0;1;0;3
;;44;Maassen, E.;43;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;6;7;4;7;0;0;0;3;0;0;0;0;1;1;3;0;2;0;5
;;45;van Beek, J.;12;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;46;Voskuil, J.H.A.;47;0;0;0;0;2;0;0;2;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;6;11;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
;;47;de Vos, L.;25;0;0;1;0;1;0;0;1;0;1;0;0;0;0;3;4;2;2;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;1;0;0;2;0;1;0;0;0;2;0;0
;;48;Kooistra, P.;7;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;49;Jansen, R.G.;7;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van der Zande, L.W.;27;0;1;0;0;1;0;2;2;0;0;0;0;0;2;1;4;2;1;0;0;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0
2;ChristenUnie;;;4801;144;224;106;66;271;25;94;115;57;316;0;20;141;141;66;112;75;164;31;88;167;131;7;85;82;138;38;153;97;136;85;99;104;81;46;74;46;120;147;91;58;85;26;150;99;130;70
;;1;Wiesenekker, H.W.;2185;52;150;66;39;141;10;48;63;36;182;0;15;69;67;40;48;32;107;17;35;61;36;5;28;29;46;15;54;37;47;20;41;24;22;14;22;6;38;80;58;31;34;7;87;56;44;26
;;2;de Kool, C.W.;103;9;7;4;3;3;0;8;0;1;3;0;1;6;3;2;5;4;4;2;1;4;0;0;3;2;3;0;3;0;0;0;0;0;0;1;0;3;2;3;3;0;0;0;3;0;7;0
;;3;de Kwant-van Lagen, D.J.;579;16;13;7;3;18;2;4;8;2;21;0;0;11;19;6;16;7;8;4;4;44;52;1;28;20;45;5;49;7;2;6;3;2;1;1;11;3;45;7;5;6;24;3;7;2;28;3
;;4;van den Top, J.A.;339;1;4;2;2;7;0;6;4;0;14;0;0;4;3;1;1;1;11;0;0;1;1;0;2;5;5;3;4;26;62;48;41;2;4;1;3;19;2;5;2;1;1;7;4;3;3;23
;;5;Buitenhuis, H.K.;101;4;3;1;2;6;0;3;6;1;5;0;0;7;6;1;2;3;0;1;1;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;1;3;1;7;2;0;11;4;5;0
;;6;Wijmenga, A.L.;20;0;2;0;0;1;1;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;0;2;0
;;7;Petri, R.;28;2;0;2;0;2;0;1;1;0;5;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1
;;8;Verstoep, J.J.;152;13;8;5;4;29;1;5;4;4;9;0;1;4;8;1;7;4;3;1;2;0;2;0;0;1;2;1;2;3;1;1;1;0;0;2;0;0;1;8;4;1;0;0;7;1;0;1
;;9;Kleijer-Kool, D.;137;7;6;0;1;4;2;2;3;2;3;0;1;1;2;0;2;0;3;0;1;11;1;0;0;0;9;2;4;1;2;0;2;22;18;1;2;0;2;1;1;2;4;0;1;4;5;2
;;10;van Leijenhorst-van Veldhuizen, M.;95;5;5;0;0;9;1;1;2;2;11;0;0;13;8;0;7;2;2;0;1;1;1;0;1;0;1;0;2;0;2;0;0;0;1;0;1;0;0;6;0;1;0;0;5;3;1;0
;;11;Mouw-van Essen, A.A.;91;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;50;34;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Kamphorst-van Steeg, A.M.;33;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;19;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;9;0;1;1;0;0;0;0;0;0;1;0
;;13;Hollemans, P.M.;10;0;1;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;0
;;14;Roorda, W.;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;1;1;3;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;15;van de Kamp, H.;38;3;4;1;2;2;0;1;1;0;4;0;0;0;0;2;1;2;2;0;0;1;1;0;1;0;1;0;1;1;2;0;0;0;0;1;0;0;0;2;0;0;0;0;0;2;0;0
;;16;Vervoorn, M.D.;13;0;0;0;0;0;0;0;0;2;0;0;0;1;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0
;;17;van Zijtveld, H.;79;1;3;3;3;8;0;1;3;1;9;0;1;0;7;1;1;2;2;0;2;0;1;0;0;0;0;0;0;4;0;0;0;0;0;10;2;0;0;3;0;1;0;0;6;3;1;0
;;18;Bobeldijk, M.N.;19;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;0;0;0;0;0;0;0;0
;;19;Heijkoop, W.G.;43;4;0;4;1;2;0;2;3;0;7;0;0;2;0;1;4;1;3;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;2;0;0
;;20;Overeem, F.;101;1;2;0;0;1;2;0;0;0;3;0;0;0;0;0;0;1;0;0;1;15;5;0;7;6;6;1;13;0;1;0;1;0;0;1;0;0;10;0;0;0;8;1;0;0;15;0
;;21;van Ee-Oskam, J.;23;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;0;1;0;0;0;1;0;0;0
;;22;Blankenstijn, E.;22;1;1;2;0;2;3;2;2;0;0;0;0;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
;;23;Fennema, A.J.;20;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;5;2;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0
;;24;Ruiter, T.;21;1;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;1;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;1;2;0
;;25;Smelt-Hazeleger, J.;43;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;4;0;1;2;5;4;7;0;0;0;0;2;1;1;0;0;5;2;0;0;4;0;0;1;2;0
;;26;Top, G.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
;;27;van Hunen, J.J.;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;5;8;4;6;0;0;0;0;0;0;2;0;0;0;5;0;0;0;9
;;28;Ophoff-van den Brink, J.;44;2;2;3;1;2;0;0;3;0;3;0;0;5;2;0;5;2;5;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;2;1;0;0
;;29;Trouwborst-van Maanen, E.B.;12;2;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0
;;30;van Kleeff, J.;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0
;;31;Luchtenberg, B.J.;25;1;0;0;3;2;0;1;1;2;4;0;0;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0
;;32;Morren, H.;19;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;9;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0
;;33;van Lunsen-van Middendorp, J. C.;54;2;0;0;0;11;0;1;0;0;4;0;0;1;6;1;0;1;2;0;0;1;0;0;5;1;0;0;3;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;2;1;5;0
